species_name,mean_length_overall
LECANE MIRA,0.10250000000000001
LECANE TENUISETA,0.08
LECANE TUDICOLA,0.08761904761904762
LEPADELLA,0.09
LEPADELLA ACUMINATA,0.09
LEPADELLA PATELLA,0.06333333333333334
LEPADELLA TRIPTERA,0.09
LEPTODIAPTOMUS MINUTUS,0.7890288713910761
LEPTODIAPTOMUS SICILIS,0.9949350649350649
LEPTODORA KINDTI,5.500196078431372
LEPTODORA KINDTII,5.500196078431372
LEYDIGIA,0.67
LEYDIGIA ACANTHOCERCOIDES,0.74
MANFREDIUM,0.1
MANFREDIUM EUDACTYLOTUM,0.1
MESOCYCLOPS EDAX,0.9268571428571428
MONOMMATA,NA
MONOSTYLA,0.0975
MONOSTYLA BULLA,0.11
MONOSTYLA LUNARIS,0.111
MONOSTYLA OBTUSA,0.09666666666666666
MONOSTYLA STENROOSI,0.0975
MYTILINA,NA
NOTHOLCA,0.12777777777777777
NOTHOLCA ACUMINATA,0.12777777777777777
NOTHOLCA FOLIACEA,0.1361764705882353
NOTHOLCA LABIS,0.12777777777777777
NOTHOLCA MICHIGANENSIS,0.12777777777777777
NOTHOLCA SQUAMULA,0.125
NOTOMMATA,0.15
OPHRYOXUS GRACILIS,0.56
ORTHOCYCLOPS MODESTUS,0.787
PARACYCLOPS FIMBRIATUS POPPEI,NA
PLEUROXUS PROCURVUS,0.395
PLOESOMA,0.1290909090909091
PLOESOMA HUDSONI,0.22
PLOESOMA LENTICULARE,0.14272727272727273
PLOESOMA TRUNCATUM,0.1290909090909091
POLYARTHRA,0.11
POLYARTHRA DOLICHOPTERA,0.10524822695035461
POLYARTHRA EURYPTERA,0.11
POLYARTHRA MAJOR,0.12573170731707317
POLYARTHRA REMATA,0.07901185770750989
POLYARTHRA VULGARIS,0.10595833333333333
POLYPHEMUS,0.44
POLYPHEMUS PEDICULUS,0.44
POMPHOLYX,0.095
SCAPHOLEBERIS,0.71
SIMOCEPHALUS,0.84
SINOBOSMINA FRYEI,0.40106870229007635
SKISTODIAPTOMUS,1.079476923076923
SKISTODIAPTOMUS OREGONENSIS,1.079476923076923
SKISTODIAPTOMUS PALLIDUS,1.079476923076923
SYNCHAETA,0.15871428571428572
TESTUDINELLA REFLEXA,0.14
TRICHOCERCA,0.14333333333333334
TRICHOCERCA BIROSTRIS,0.09488636363636364
TRICHOCERCA CAPUCINA,0.14333333333333334
TRICHOCERCA CYLINDRICA,0.3056
TRICHOCERCA LONGISETA,0.14333333333333334
TRICHOCERCA MULTICRINIS,0.17150943396226415
TRICHOCERCA PORCELLUS,0.13642857142857143
TRICHOCERCA PUSILLA,0.14333333333333334
TRICHOCERCA ROUSSELETI,0.1
TRICHOCERCA SIMILIS,0.15818181818181817
TRICHOTRIA,NA
TRICHOTRIA TETRACTIS,NA
TROCHOSPHAERA SOLSTITIALIS,NA
TROPOCYCLOPS,0.4546308016877637
TROPOCYCLOPS PRASINUS MEXICANUS,0.4546308016877637
UNIDENTIFIED,0.224
UNKNOWN,0.6195652173913043
UNKNOWN EGG-SHAPED ROTIFER,0.11291666666666667
UNKNOWN ROTIFER,0.09724137931034484
NA,0.62
