lakeid,year,metric,sampledate,daynum,daynum_fill,filled_flag
AL,1991,doc_epiMax,1991-08-27,239,239,FALSE
AL,1991,totnuf_hypoMax,1991-08-27,239,239,FALSE
AL,1991,totpuf_hypoMax,1991-08-27,239,239,FALSE
AL,1991,drsif_epiSpringMin,1991-05-07,127,127,FALSE
AL,1991,secchi_max,1991-05-21,141,141,FALSE
AL,1991,secchi_min,1991-09-23,266,266,FALSE
AL,1991,secchi_springmax,1991-05-21,141,141,FALSE
AL,1991,zoopDensity,1991-08-27,239,239,FALSE
AL,1991,zoopDensity_spring,1991-05-07,127,127,FALSE
AL,1992,iceoff,1992-04-28,119,119,FALSE
AL,1992,iceon,1992-11-16,321,321,FALSE
AL,1992,straton,1992-05-18,139,139,FALSE
AL,1992,stratoff,1992-10-06,280,280,FALSE
AL,1992,energy,1992-08-12,225,225,FALSE
AL,1992,stability,1992-08-12,225,225,FALSE
AL,1992,anoxia_summer,1992-08-26,239,239,FALSE
AL,1992,drsif_epiMin,1992-05-05,126,126,FALSE
AL,1992,totnuf_epiMin,1992-06-01,153,153,FALSE
AL,1992,totpuf_epiMin,1992-07-29,211,211,FALSE
AL,1992,doc_epiMax,1992-09-21,265,265,FALSE
AL,1992,totnuf_hypoMax,1992-07-29,211,211,FALSE
AL,1992,totpuf_hypoMax,1992-07-29,211,211,FALSE
AL,1992,drsif_epiSpringMin,1992-05-05,126,126,FALSE
AL,1992,secchi_max,1992-06-01,153,153,FALSE
AL,1992,secchi_min,1992-05-05,126,126,FALSE
AL,1992,secchi_springmax,1992-06-01,153,153,FALSE
AL,1992,zoopDensity,1992-06-19,171,171,FALSE
AL,1992,zoopDensity_spring,1992-06-19,171,171,FALSE
AL,1993,iceoff,1993-05-02,122,122,FALSE
AL,1993,iceon,1993-11-29,333,333,FALSE
AL,1993,straton,1993-05-17,137,137,FALSE
AL,1993,stratoff,1993-09-09,252,252,FALSE
AL,1993,energy,1993-08-26,238,238,FALSE
AL,1993,stability,1993-07-26,207,207,FALSE
AL,1993,anoxia_summer,1993-06-16,167,167,FALSE
AL,1993,drsif_epiMin,1993-05-03,123,123,FALSE
AL,1993,totnuf_epiMin,1993-06-04,155,155,FALSE
AL,1993,totpuf_epiMin,1993-06-30,181,181,FALSE
AL,1993,doc_epiMax,1993-06-30,181,181,FALSE
AL,1993,totnuf_hypoMax,1993-08-26,238,238,FALSE
AL,1993,totpuf_hypoMax,1993-08-26,238,238,FALSE
AL,1993,drsif_epiSpringMin,1993-05-03,123,123,FALSE
AL,1993,secchi_max,1993-06-04,155,155,FALSE
AL,1993,secchi_min,1993-09-09,252,252,FALSE
AL,1993,secchi_springmax,1993-06-04,155,155,FALSE
AL,1993,zoopDensity,1993-08-26,238,238,FALSE
AL,1993,zoopDensity_spring,1993-06-04,155,155,FALSE
AL,1994,iceoff,1994-04-20,110,110,FALSE
AL,1994,iceon,1994-11-26,330,330,FALSE
AL,1994,straton,1994-05-20,140,140,FALSE
AL,1994,stratoff,1994-09-21,264,264,FALSE
AL,1994,energy,1994-06-27,178,178,FALSE
AL,1994,stability,1994-07-12,193,193,FALSE
AL,1994,anoxia_summer,1994-06-27,178,178,FALSE
AL,1994,drsif_epiMin,1994-05-03,123,123,FALSE
AL,1994,totnuf_epiMin,1994-08-25,237,237,FALSE
AL,1994,totpuf_epiMin,1994-06-27,178,178,FALSE
AL,1994,doc_epiMax,1994-09-21,264,264,FALSE
AL,1994,totnuf_hypoMax,1994-08-25,237,237,FALSE
AL,1994,totpuf_hypoMax,1994-08-25,237,237,FALSE
AL,1994,drsif_epiSpringMin,1994-05-03,123,123,FALSE
AL,1994,secchi_max,1994-06-06,157,157,FALSE
AL,1994,secchi_min,1994-09-09,252,252,FALSE
AL,1994,secchi_springmax,1994-06-06,157,157,FALSE
AL,1994,zoopDensity,1994-08-25,237,237,FALSE
AL,1994,zoopDensity_spring,1994-05-03,123,123,FALSE
AL,1995,iceoff,1995-04-25,115,115,FALSE
AL,1995,iceon,1995-11-09,313,313,FALSE
AL,1995,straton,1995-05-30,150,150,FALSE
AL,1995,stratoff,1995-10-02,275,275,FALSE
AL,1995,energy,1995-08-08,220,220,FALSE
AL,1995,stability,1995-06-26,177,177,FALSE
AL,1995,anoxia_summer,1995-08-21,233,233,FALSE
AL,1995,drsif_epiMin,1995-05-01,121,121,FALSE
AL,1995,totnuf_epiMin,1995-05-01,121,121,FALSE
AL,1995,totpuf_epiMin,1995-07-26,207,207,FALSE
AL,1995,doc_epiMax,1995-07-26,207,207,FALSE
AL,1995,totnuf_hypoMax,1995-08-21,233,233,FALSE
AL,1995,totpuf_hypoMax,1995-08-21,233,233,FALSE
AL,1995,drsif_epiSpringMin,1995-05-01,121,121,FALSE
AL,1995,secchi_max,1995-07-10,191,191,FALSE
AL,1995,secchi_min,1995-05-01,121,121,FALSE
AL,1995,secchi_springmax,1995-07-10,191,191,FALSE
AL,1995,zoopDensity,1995-06-12,163,163,FALSE
AL,1995,zoopDensity_spring,1995-06-12,163,163,FALSE
AL,1996,iceoff,1996-05-09,130,130,FALSE
AL,1996,iceon,1996-11-14,319,319,FALSE
AL,1996,straton,1996-05-30,151,151,FALSE
AL,1996,stratoff,1996-10-16,290,290,FALSE
AL,1996,energy,1996-09-03,247,247,FALSE
AL,1996,stability,1996-06-12,164,164,FALSE
AL,1996,anoxia_summer,1996-08-21,234,234,FALSE
AL,1996,drsif_epiMin,1996-05-14,135,135,FALSE
AL,1996,totnuf_epiMin,1996-07-11,193,193,FALSE
AL,1996,totpuf_epiMin,1996-07-11,193,193,FALSE
AL,1996,doc_epiMax,1996-09-03,247,247,FALSE
AL,1996,totnuf_hypoMax,1996-09-03,247,247,FALSE
AL,1996,totpuf_hypoMax,1996-09-03,247,247,FALSE
AL,1996,drsif_epiSpringMin,1996-05-14,135,135,FALSE
AL,1996,secchi_max,1996-09-03,247,247,FALSE
AL,1996,secchi_min,1996-09-16,260,260,FALSE
AL,1996,secchi_springmax,1996-06-27,179,179,FALSE
AL,1996,zoopDensity,1996-06-12,164,164,FALSE
AL,1996,zoopDensity_spring,1996-06-12,164,164,FALSE
AL,1997,iceoff,1997-04-28,118,118,FALSE
AL,1997,iceon,1997-11-17,321,321,FALSE
AL,1997,straton,1997-05-13,133,133,FALSE
AL,1997,stratoff,1997-09-08,251,251,FALSE
AL,1997,energy,1997-07-31,212,212,FALSE
AL,1997,stability,1997-07-02,183,183,FALSE
AL,1997,anoxia_summer,1997-08-14,226,226,FALSE
AL,1997,drsif_epiMin,1997-05-13,133,133,FALSE
AL,1997,totnuf_epiMin,1997-11-07,311,311,FALSE
AL,1997,totpuf_epiMin,1997-07-31,212,212,FALSE
AL,1997,doc_epiMax,1997-08-27,239,239,FALSE
AL,1997,totnuf_hypoMax,1997-08-27,239,239,FALSE
AL,1997,totpuf_hypoMax,1997-08-27,239,239,FALSE
AL,1997,drsif_epiSpringMin,1997-05-13,133,133,FALSE
AL,1997,secchi_max,1997-07-31,212,212,FALSE
AL,1997,secchi_min,1997-09-25,268,268,FALSE
AL,1997,secchi_springmax,1997-07-02,183,183,FALSE
AL,1997,zoopDensity,1997-08-27,239,239,FALSE
AL,1997,zoopDensity_spring,1997-06-16,167,167,FALSE
AL,1998,iceoff,1998-04-09,99,99,FALSE
AL,1998,iceon,1998-12-11,345,345,FALSE
AL,1998,straton,1998-04-22,112,112,FALSE
AL,1998,stratoff,1998-09-22,265,265,FALSE
AL,1998,energy,1998-07-13,194,194,FALSE
AL,1998,stability,1998-07-29,210,210,FALSE
AL,1998,anoxia_summer,1998-08-25,237,237,FALSE
AL,1998,drsif_epiMin,1998-04-22,112,112,FALSE
AL,1998,totnuf_epiMin,1998-05-18,138,138,FALSE
AL,1998,totpuf_epiMin,1998-07-13,194,194,FALSE
AL,1998,doc_epiMax,1998-06-17,168,168,FALSE
AL,1998,totnuf_hypoMax,1998-09-09,252,252,FALSE
AL,1998,totpuf_hypoMax,1998-09-09,252,252,FALSE
AL,1998,drsif_epiSpringMin,1998-04-22,112,112,FALSE
AL,1998,secchi_max,1998-06-17,168,168,FALSE
AL,1998,secchi_min,1998-09-22,265,265,FALSE
AL,1998,secchi_springmax,1998-06-17,168,168,FALSE
AL,1998,zoopDensity,1998-04-22,112,112,FALSE
AL,1998,zoopDensity_spring,1998-04-22,112,112,FALSE
AL,1999,iceoff,1999-04-14,104,104,FALSE
AL,1999,iceon,1999-12-01,335,335,FALSE
AL,1999,straton,1999-05-06,126,126,FALSE
AL,1999,stratoff,1999-09-07,250,250,FALSE
AL,1999,energy,1999-07-28,209,209,FALSE
AL,1999,stability,1999-08-10,222,222,FALSE
AL,1999,anoxia_summer,1999-07-28,209,209,FALSE
AL,1999,drsif_epiMin,1999-05-06,126,126,FALSE
AL,1999,totnuf_epiMin,1999-05-06,126,126,FALSE
AL,1999,totpuf_epiMin,1999-08-26,238,238,FALSE
AL,1999,doc_epiMax,1999-08-26,238,238,FALSE
AL,1999,totnuf_hypoMax,1999-08-26,238,238,FALSE
AL,1999,totpuf_hypoMax,1999-08-26,238,238,FALSE
AL,1999,drsif_epiSpringMin,1999-05-06,126,126,FALSE
AL,1999,secchi_max,1999-07-28,209,209,FALSE
AL,1999,secchi_min,1999-09-22,265,265,FALSE
AL,1999,secchi_springmax,1999-05-17,137,137,FALSE
AL,1999,zoopDensity,1999-05-06,126,126,FALSE
AL,1999,zoopDensity_spring,1999-05-06,126,126,FALSE
AL,2000,iceoff,2000-03-26,86,86,FALSE
AL,2000,iceon,2000-11-20,325,325,FALSE
AL,2000,straton,2000-05-04,125,125,FALSE
AL,2000,stratoff,2000-10-16,290,290,FALSE
AL,2000,energy,2000-07-12,194,194,FALSE
AL,2000,stability,2000-06-02,154,154,FALSE
AL,2000,anoxia_summer,2000-08-09,222,222,FALSE
AL,2000,drsif_epiMin,2000-04-03,94,94,FALSE
AL,2000,totnuf_epiMin,2000-06-02,154,154,FALSE
AL,2000,totpuf_epiMin,2000-05-04,125,125,FALSE
AL,2000,doc_epiMax,2000-08-23,236,236,FALSE
AL,2000,totnuf_hypoMax,2000-08-23,236,236,FALSE
AL,2000,totpuf_hypoMax,2000-08-23,236,236,FALSE
AL,2000,drsif_epiSpringMin,2000-04-03,94,94,FALSE
AL,2000,secchi_max,2000-05-04,125,125,FALSE
AL,2000,secchi_min,2000-08-23,236,236,FALSE
AL,2000,secchi_springmax,2000-05-04,125,125,FALSE
AL,2000,zoopDensity,2000-08-23,236,236,FALSE
AL,2000,zoopDensity_spring,2000-06-02,154,154,FALSE
AL,2001,iceoff,2001-04-23,113,113,FALSE
AL,2001,iceon,2001-12-11,345,345,FALSE
AL,2001,straton,2001-05-01,121,121,FALSE
AL,2001,stratoff,2001-09-17,260,260,FALSE
AL,2001,energy,2001-08-06,218,218,FALSE
AL,2001,stability,2001-09-05,248,248,FALSE
AL,2001,anoxia_summer,2001-08-06,218,218,FALSE
AL,2001,drsif_epiMin,2001-05-01,121,121,FALSE
AL,2001,totnuf_epiMin,2001-07-23,204,204,FALSE
AL,2001,totpuf_epiMin,2001-05-29,149,149,FALSE
AL,2001,doc_epiMax,2001-07-23,204,204,FALSE
AL,2001,totnuf_hypoMax,2001-08-23,235,235,FALSE
AL,2001,totpuf_hypoMax,2001-08-23,235,235,FALSE
AL,2001,drsif_epiSpringMin,2001-05-01,121,121,FALSE
AL,2001,secchi_max,2001-05-29,149,149,FALSE
AL,2001,secchi_min,2001-09-17,260,260,FALSE
AL,2001,secchi_springmax,2001-05-29,149,149,FALSE
AL,2001,zoopDensity,2001-11-14,318,318,FALSE
AL,2001,zoopDensity_spring,2001-05-01,121,121,FALSE
AL,2002,iceoff,2002-04-19,109,109,FALSE
AL,2002,iceon,2002-11-18,322,322,FALSE
AL,2002,straton,2002-06-03,154,154,FALSE
AL,2002,stratoff,2002-09-24,267,267,FALSE
AL,2002,energy,2002-07-16,197,197,FALSE
AL,2002,stability,2002-07-16,197,197,FALSE
AL,2002,anoxia_summer,2002-08-14,226,226,FALSE
AL,2002,drsif_epiMin,2002-04-23,113,113,FALSE
AL,2002,totnuf_epiMin,2002-06-17,168,168,FALSE
AL,2002,totpuf_epiMin,2002-09-09,252,252,FALSE
AL,2002,doc_epiMax,2002-08-14,226,226,FALSE
AL,2002,totnuf_hypoMax,2002-08-14,226,226,FALSE
AL,2002,totpuf_hypoMax,2002-09-09,252,252,FALSE
AL,2002,drsif_epiSpringMin,2002-04-23,113,113,FALSE
AL,2002,secchi_max,2002-08-26,238,238,FALSE
AL,2002,secchi_min,2002-09-24,267,267,FALSE
AL,2002,secchi_springmax,2002-06-03,154,154,FALSE
AL,2002,zoopDensity,2002-08-14,226,226,FALSE
AL,2002,zoopDensity_spring,2002-05-20,140,140,FALSE
AL,2003,iceoff,2003-04-23,113,113,FALSE
AL,2003,iceon,2003-11-28,332,332,FALSE
AL,2003,straton,2003-04-30,120,120,FALSE
AL,2003,stratoff,2003-09-17,260,260,FALSE
AL,2003,energy,2003-08-18,230,230,FALSE
AL,2003,stability,2003-08-06,218,218,FALSE
AL,2003,anoxia_summer,2003-06-23,174,174,FALSE
AL,2003,drsif_epiMin,2003-04-30,120,120,FALSE
AL,2003,totnuf_epiMin,2003-05-29,149,149,FALSE
AL,2003,totpuf_epiMin,2003-05-29,149,149,FALSE
AL,2003,doc_epiMax,2003-06-23,174,174,FALSE
AL,2003,totnuf_hypoMax,NA,NA,238,TRUE
AL,2003,totpuf_hypoMax,NA,NA,238,TRUE
AL,2003,drsif_epiSpringMin,2003-04-30,120,120,FALSE
AL,2003,secchi_max,2003-05-29,149,149,FALSE
AL,2003,secchi_min,2003-04-30,120,120,FALSE
AL,2003,secchi_springmax,2003-05-29,149,149,FALSE
AL,2003,zoopDensity,2003-07-23,204,204,FALSE
AL,2003,zoopDensity_spring,2003-05-29,149,149,FALSE
AL,2004,iceoff,2004-04-19,110,110,FALSE
AL,2004,iceon,2004-12-13,348,348,FALSE
AL,2004,straton,2004-05-10,131,131,FALSE
AL,2004,stratoff,2004-10-11,285,285,FALSE
AL,2004,energy,2004-07-22,204,204,FALSE
AL,2004,stability,2004-07-22,204,204,FALSE
AL,2004,anoxia_summer,2004-08-02,215,215,FALSE
AL,2004,drsif_epiMin,2004-04-27,118,118,FALSE
AL,2004,totnuf_epiMin,2004-05-24,145,145,FALSE
AL,2004,totpuf_epiMin,2004-05-24,145,145,FALSE
AL,2004,doc_epiMax,2004-06-21,173,173,FALSE
AL,2004,totnuf_hypoMax,2004-06-21,173,173,FALSE
AL,2004,totpuf_hypoMax,2004-09-10,254,254,FALSE
AL,2004,drsif_epiSpringMin,2004-04-27,118,118,FALSE
AL,2004,secchi_max,2004-05-24,145,145,FALSE
AL,2004,secchi_min,2004-04-27,118,118,FALSE
AL,2004,secchi_springmax,2004-05-24,145,145,FALSE
AL,2004,zoopDensity,2004-10-11,285,285,FALSE
AL,2004,zoopDensity_spring,2004-05-24,145,145,FALSE
AL,2005,iceoff,2005-04-12,102,102,FALSE
AL,2005,iceon,2005-11-25,329,329,FALSE
AL,2005,straton,2005-04-19,109,109,FALSE
AL,2005,stratoff,2005-10-03,276,276,FALSE
AL,2005,energy,2005-08-08,220,220,FALSE
AL,2005,stability,2005-06-14,165,165,FALSE
AL,2005,anoxia_summer,2005-06-27,178,178,FALSE
AL,2005,drsif_epiMin,2005-04-19,109,109,FALSE
AL,2005,totnuf_epiMin,2005-06-14,165,165,FALSE
AL,2005,totpuf_epiMin,2005-05-16,136,136,FALSE
AL,2005,doc_epiMax,2005-11-08,312,312,FALSE
AL,2005,totnuf_hypoMax,2005-08-08,220,220,FALSE
AL,2005,totpuf_hypoMax,2005-08-08,220,220,FALSE
AL,2005,drsif_epiSpringMin,2005-04-19,109,109,FALSE
AL,2005,secchi_max,2005-05-31,151,151,FALSE
AL,2005,secchi_min,2005-10-20,293,293,FALSE
AL,2005,secchi_springmax,2005-05-31,151,151,FALSE
AL,2005,zoopDensity,2005-07-11,192,192,FALSE
AL,2005,zoopDensity_spring,2005-07-11,192,192,FALSE
AL,2006,iceoff,2006-04-14,104,104,FALSE
AL,2006,iceon,2006-12-01,335,335,FALSE
AL,2006,straton,2006-04-20,110,110,FALSE
AL,2006,stratoff,2006-10-04,277,277,FALSE
AL,2006,energy,2006-07-25,206,206,FALSE
AL,2006,stability,2006-08-09,221,221,FALSE
AL,2006,anoxia_summer,2006-08-09,221,221,FALSE
AL,2006,drsif_epiMin,2006-04-20,110,110,FALSE
AL,2006,totnuf_epiMin,2006-08-09,221,221,FALSE
AL,2006,totpuf_epiMin,2006-07-11,192,192,FALSE
AL,2006,doc_epiMax,2006-07-11,192,192,FALSE
AL,2006,totnuf_hypoMax,2006-09-05,248,248,FALSE
AL,2006,totpuf_hypoMax,2006-09-05,248,248,FALSE
AL,2006,drsif_epiSpringMin,2006-04-20,110,110,FALSE
AL,2006,secchi_max,2006-05-30,150,150,FALSE
AL,2006,secchi_min,2006-04-20,110,110,FALSE
AL,2006,secchi_springmax,2006-05-30,150,150,FALSE
AL,2006,zoopDensity,2006-08-09,221,221,FALSE
AL,2006,zoopDensity_spring,2006-05-16,136,136,FALSE
AL,2007,iceoff,2007-04-12,102,102,FALSE
AL,2007,iceon,2007-11-23,327,327,FALSE
