lakeid,year4,sampledate,larger_group,total_biomass
AL,1992,1992-05-05,ROTIFERA,2.8311875473393906
AL,1992,1992-06-19,CLADOCERA,23.207347936509795
AL,1992,1992-06-19,COPEPODA,181.5464168061357
AL,1992,1992-06-19,ROTIFERA,4.426039441019285
AL,1992,1992-08-26,CLADOCERA,48.891405901711316
AL,1992,1992-08-26,COPEPODA,23.837831925798938
AL,1992,1992-08-26,ROTIFERA,3.0830536312982706
AL,1992,1992-11-06,CLADOCERA,297.4288745033138
AL,1992,1992-11-06,COPEPODA,13.338026175765066
AL,1992,1992-11-06,ROTIFERA,1.0777345435641685
AL,1993,1993-02-23,CLADOCERA,32.60889469905933
AL,1993,1993-02-23,COPEPODA,14.067247212490727
AL,1993,1993-02-23,ROTIFERA,0.3068955586975921
AL,1993,1993-05-03,CLADOCERA,5.764125474870423
AL,1993,1993-05-03,COPEPODA,17.398681625460632
AL,1993,1993-05-03,ROTIFERA,9.425281575928784
AL,1993,1993-06-04,CLADOCERA,191.69843534391657
AL,1993,1993-06-04,COPEPODA,70.06985364157161
AL,1993,1993-06-04,ROTIFERA,3.432719791530363
AL,1993,1993-08-26,CLADOCERA,9.865141904818373
AL,1993,1993-08-26,COPEPODA,165.58498807310613
AL,1993,1993-08-26,ROTIFERA,7.321934510164279
AL,1993,1993-11-03,CLADOCERA,8.47198229770001
AL,1993,1993-11-03,COPEPODA,127.86977571550314
AL,1993,1993-11-03,ROTIFERA,1.663528735582151
AL,1994,1994-02-22,CLADOCERA,0.39705509988389226
AL,1994,1994-02-22,COPEPODA,18.55682378870398
AL,1994,1994-02-22,ROTIFERA,1.314949334926207
AL,1994,1994-05-03,COPEPODA,79.66203116177402
AL,1994,1994-05-03,ROTIFERA,10.510653297172775
AL,1994,1994-06-13,CLADOCERA,24.3554326977508
AL,1994,1994-06-13,COPEPODA,68.81097848585475
AL,1994,1994-06-13,ROTIFERA,11.134953708331626
AL,1994,1994-08-25,CLADOCERA,7.463205821327248
AL,1994,1994-08-25,COPEPODA,164.22185557554957
AL,1994,1994-08-25,ROTIFERA,11.58059839695771
AL,1994,1994-11-17,CLADOCERA,3.853488555565182
AL,1994,1994-11-17,COPEPODA,3.2778162532541444
AL,1994,1994-11-17,ROTIFERA,0.4548677020756698
AL,1995,1995-02-21,CLADOCERA,8.227718807828362
AL,1995,1995-02-21,COPEPODA,115.03272194423093
AL,1995,1995-02-21,ROTIFERA,2.1538000564712427
AL,1995,1995-05-01,CLADOCERA,0.5207416966979975
AL,1995,1995-05-01,COPEPODA,141.98660425184045
AL,1995,1995-05-01,ROTIFERA,13.69027085010712
AL,1995,1995-06-12,CLADOCERA,6.2710800066751275
AL,1995,1995-06-12,COPEPODA,273.7461152632705
AL,1995,1995-06-12,ROTIFERA,13.363659277795062
AL,1995,1995-08-21,CLADOCERA,38.17117247635116
AL,1995,1995-08-21,COPEPODA,171.56160784138436
AL,1995,1995-08-21,ROTIFERA,32.327345167831695
AL,1995,1995-12-14,COPEPODA,54.507063651637324
AL,1995,1995-12-14,ROTIFERA,2.881117945073936
AL,1996,1996-02-20,COPEPODA,24.639702436005397
AL,1996,1996-02-20,ROTIFERA,1.0175006000000002
AL,1996,1996-05-14,CLADOCERA,1.8530724701060164
AL,1996,1996-05-14,COPEPODA,22.486834885271477
AL,1996,1996-05-14,ROTIFERA,1.0632427000000004
AL,1996,1996-06-12,CLADOCERA,3.911975387721788
AL,1996,1996-06-12,COPEPODA,61.243965835041166
AL,1996,1996-06-12,ROTIFERA,62.72656072
AL,1996,1996-08-08,CLADOCERA,8.535807292774756
AL,1996,1996-08-08,COPEPODA,35.12877834792273
AL,1996,1996-08-08,ROTIFERA,7.975318000000001
AL,1996,1996-11-04,CLADOCERA,4.56959694221747
AL,1996,1996-11-04,COPEPODA,62.36337610372604
AL,1996,1996-11-04,ROTIFERA,2.5910442000000002
AL,1997,1997-02-26,COPEPODA,21.71547253432665
AL,1997,1997-02-26,ROTIFERA,0.46243749999999995
AL,1997,1997-05-13,COPEPODA,46.91524225239182
AL,1997,1997-05-13,ROTIFERA,11.029658872999999
AL,1997,1997-06-16,CLADOCERA,6.379991064095446
AL,1997,1997-06-16,COPEPODA,88.75928818301034
AL,1997,1997-06-16,ROTIFERA,18.674179709
AL,1997,1997-08-27,CLADOCERA,4.285602261727423
AL,1997,1997-08-27,COPEPODA,61.806428930533386
AL,1997,1997-08-27,ROTIFERA,5.300484344679999
AL,1997,1997-11-07,CLADOCERA,3.587394102865062
AL,1997,1997-11-07,COPEPODA,52.387059174743534
AL,1997,1997-11-07,ROTIFERA,2.1755191768000004
AL,1998,1998-02-27,COPEPODA,12.334257407854796
AL,1998,1998-02-27,ROTIFERA,7.781443399999999
AL,1998,1998-04-22,CLADOCERA,2.491345209562885
AL,1998,1998-04-22,COPEPODA,81.60246995908545
AL,1998,1998-04-22,ROTIFERA,17.589490800000004
AL,1998,1998-06-17,CLADOCERA,155.8060583517615
AL,1998,1998-06-17,COPEPODA,64.90891339514708
AL,1998,1998-06-17,ROTIFERA,1.3285058768
AL,1998,1998-08-11,CLADOCERA,16.118975890519508
AL,1998,1998-08-11,COPEPODA,93.48718288432433
AL,1998,1998-08-11,ROTIFERA,5.921667673
AL,1998,1998-11-04,CLADOCERA,195.86850400041004
AL,1998,1998-11-04,COPEPODA,127.36838162643747
AL,1998,1998-11-04,ROTIFERA,2.646214507
AL,1999,1999-02-25,CLADOCERA,1010.7211312088682
AL,1999,1999-02-25,COPEPODA,25.83733862018016
AL,1999,1999-02-25,ROTIFERA,0.4052578000000001
AL,1999,1999-05-06,CLADOCERA,70.72997505555333
AL,1999,1999-05-06,COPEPODA,187.4267823478451
AL,1999,1999-05-06,ROTIFERA,4.962875179142141
AL,1999,1999-06-28,CLADOCERA,27.07586707284411
AL,1999,1999-06-28,COPEPODA,58.322643437525535
AL,1999,1999-06-28,ROTIFERA,4.324916292225774
AL,1999,1999-08-26,CLADOCERA,133.07120234572062
AL,1999,1999-08-26,COPEPODA,116.60257582625145
AL,1999,1999-08-26,ROTIFERA,4.794041669956148
AL,1999,1999-11-05,CLADOCERA,266.014714374158
AL,1999,1999-11-05,COPEPODA,42.249263498399785
AL,1999,1999-11-05,ROTIFERA,2.366718348829949
AL,2000,2000-02-24,CLADOCERA,6.409535632844151
AL,2000,2000-02-24,COPEPODA,13.341796565864396
AL,2000,2000-02-24,ROTIFERA,0.041285074513044626
AL,2000,2000-04-03,CLADOCERA,20.510514025101287
AL,2000,2000-04-03,COPEPODA,14.721477624045091
AL,2000,2000-04-03,ROTIFERA,1.064041921674221
AL,2000,2000-06-02,CLADOCERA,82.77930192631646
AL,2000,2000-06-02,COPEPODA,51.515630000047345
AL,2000,2000-06-02,ROTIFERA,18.539152501297163
AL,2000,2000-07-24,CLADOCERA,10.51898227329955
AL,2000,2000-07-24,COPEPODA,34.43345592732458
AL,2000,2000-07-24,ROTIFERA,0.9109234727517959
AL,2000,2000-08-23,CLADOCERA,12.513960662261018
AL,2000,2000-08-23,COPEPODA,253.4065696167226
AL,2000,2000-08-23,ROTIFERA,11.720025102875194
AL,2000,2000-11-15,CLADOCERA,290.55489627421986
AL,2000,2000-11-15,COPEPODA,69.32309770671876
AL,2000,2000-11-15,ROTIFERA,2.045544173400016
AL,2001,2001-03-02,CLADOCERA,17.89000737903096
AL,2001,2001-03-02,COPEPODA,2.7607315405362374
AL,2001,2001-03-02,ROTIFERA,0.33455955290008255
AL,2001,2001-05-01,CLADOCERA,8.75614111574134
AL,2001,2001-05-01,COPEPODA,40.46130687121376
AL,2001,2001-05-01,ROTIFERA,5.495091874296614
AL,2001,2001-06-25,CLADOCERA,6.5671312860858375
AL,2001,2001-06-25,COPEPODA,24.912632314729272
AL,2001,2001-06-25,ROTIFERA,16.897394183192674
AL,2001,2001-08-23,CLADOCERA,3.5406291674020265
AL,2001,2001-08-23,COPEPODA,71.8351489956566
AL,2001,2001-08-23,ROTIFERA,1.0107912771979255
AL,2001,2001-11-14,CLADOCERA,489.6087311271963
AL,2001,2001-11-14,COPEPODA,19.667872908167347
AL,2001,2001-11-14,ROTIFERA,0.9070616658572568
AL,2002,2002-03-05,CLADOCERA,128.05271743590967
AL,2002,2002-03-05,COPEPODA,6.315765157992727
AL,2002,2002-03-05,ROTIFERA,0.2783719104225853
AL,2002,2002-04-23,CLADOCERA,43.82307536327056
AL,2002,2002-04-23,COPEPODA,10.702156964672046
AL,2002,2002-04-23,ROTIFERA,0.22107380158105508
AL,2002,2002-05-20,CLADOCERA,57.685820695597364
AL,2002,2002-05-20,COPEPODA,30.36668484783482
AL,2002,2002-05-20,ROTIFERA,2.5483336651504063
AL,2002,2002-06-17,CLADOCERA,3.8457213797064904
AL,2002,2002-06-17,COPEPODA,18.4447552060048
AL,2002,2002-06-17,ROTIFERA,7.306630278802558
AL,2002,2002-08-14,CLADOCERA,391.1990846865918
AL,2002,2002-08-14,COPEPODA,111.54121365169941
AL,2002,2002-08-14,ROTIFERA,8.458805637411263
AL,2002,2002-11-04,CLADOCERA,59.2988010374998
AL,2002,2002-11-04,COPEPODA,26.388562603549047
AL,2002,2002-11-04,ROTIFERA,1.247139277626156
AL,2003,2003-02-26,CLADOCERA,228.42871940306267
AL,2003,2003-02-26,COPEPODA,14.785370216240691
AL,2003,2003-02-26,ROTIFERA,0.2665824910788554
AL,2003,2003-04-30,CLADOCERA,7.691442759412981
AL,2003,2003-04-30,COPEPODA,8.325578698424424
AL,2003,2003-04-30,ROTIFERA,7.7648016176417265
AL,2003,2003-05-29,CLADOCERA,132.2190833357462
AL,2003,2003-05-29,COPEPODA,41.28367459766137
AL,2003,2003-05-29,ROTIFERA,2.780115164951605
AL,2003,2003-06-23,CLADOCERA,42.402583897051386
AL,2003,2003-06-23,COPEPODA,65.10668219515149
AL,2003,2003-06-23,ROTIFERA,17.333602469823404
AL,2003,2003-07-23,CLADOCERA,311.124036133903
AL,2003,2003-07-23,COPEPODA,119.75485438649551
AL,2003,2003-07-23,ROTIFERA,3.91063637675652
AL,2003,2003-08-18,CLADOCERA,42.208633088280266
AL,2003,2003-08-18,COPEPODA,28.236249523589976
AL,2003,2003-08-18,ROTIFERA,3.270590638524978
AL,2003,2003-09-17,CLADOCERA,239.30853067274722
AL,2003,2003-09-17,COPEPODA,160.90108544233948
AL,2003,2003-09-17,ROTIFERA,5.242818100305191
AL,2003,2003-10-13,CLADOCERA,96.96308251719577
AL,2003,2003-10-13,COPEPODA,45.32195574030349
AL,2003,2003-10-13,ROTIFERA,7.14343360679294
AL,2003,2003-11-19,CLADOCERA,47.98775995581677
AL,2003,2003-11-19,COPEPODA,30.379395666849156
AL,2003,2003-11-19,ROTIFERA,0.372795979911677
AL,2004,2004-02-19,CLADOCERA,283.46490695487637
AL,2004,2004-02-19,COPEPODA,11.766013805665374
AL,2004,2004-02-19,ROTIFERA,0.17065017021683723
AL,2004,2004-04-27,CLADOCERA,10.255257012550643
AL,2004,2004-04-27,COPEPODA,8.189820825405299
AL,2004,2004-04-27,ROTIFERA,0.602148425036571
AL,2004,2004-05-24,CLADOCERA,22.98644039472575
AL,2004,2004-05-24,COPEPODA,32.07024780937087
AL,2004,2004-05-24,ROTIFERA,3.1604945809909384
AL,2004,2004-06-21,CLADOCERA,1.7809198925498224
AL,2004,2004-06-21,COPEPODA,11.29477331168176
AL,2004,2004-06-21,ROTIFERA,18.612528761404313
AL,2004,2004-07-22,CLADOCERA,20.211357445077596
AL,2004,2004-07-22,COPEPODA,10.378242244775366
AL,2004,2004-07-22,ROTIFERA,11.451679639389134
AL,2004,2004-08-16,CLADOCERA,0.5097196708629309
AL,2004,2004-08-16,COPEPODA,25.34820341450388
AL,2004,2004-08-16,ROTIFERA,0.6126411345565946
AL,2004,2004-09-10,CLADOCERA,1.1014789749014797
AL,2004,2004-09-10,COPEPODA,174.73314295604624
AL,2004,2004-09-10,ROTIFERA,3.0809923267191555
AL,2004,2004-10-11,CLADOCERA,837.6475317833709
AL,2004,2004-10-11,COPEPODA,127.54796218637125
AL,2004,2004-10-11,ROTIFERA,17.856105070211672
AL,2004,2004-11-09,CLADOCERA,88.99857201069635
AL,2004,2004-11-09,COPEPODA,18.5742060217021
AL,2004,2004-11-09,ROTIFERA,1.4635529471654523
AL,2005,2005-02-23,CLADOCERA,83.53756134327033
AL,2005,2005-02-23,COPEPODA,42.97148111507192
AL,2005,2005-02-23,ROTIFERA,0.36527419542621486
AL,2005,2005-04-19,CLADOCERA,43.19759620855599
AL,2005,2005-04-19,COPEPODA,65.64095890352905
AL,2005,2005-04-19,ROTIFERA,1.1145841662223483
AL,2005,2005-05-16,CLADOCERA,272.9268509355023
AL,2005,2005-05-16,COPEPODA,134.26905092330645
AL,2005,2005-05-16,ROTIFERA,3.6226465713514853
AL,2005,2005-06-13,CLADOCERA,4.083954439636826
AL,2005,2005-06-13,COPEPODA,20.033788512992253
AL,2005,2005-06-13,ROTIFERA,7.122810375348788
AL,2005,2005-07-11,CLADOCERA,53.2001091752846
AL,2005,2005-07-11,COPEPODA,32.26241711631069
AL,2005,2005-07-11,ROTIFERA,6.8733647885202895
AL,2005,2005-08-08,CLADOCERA,18.879131069571653
AL,2005,2005-08-08,COPEPODA,83.71525472309635
AL,2005,2005-08-08,ROTIFERA,12.108441495156208
AL,2005,2005-09-06,CLADOCERA,8.183151679849889
AL,2005,2005-09-06,COPEPODA,116.02808717882856
AL,2005,2005-09-06,ROTIFERA,7.968507462361125
AL,2005,2005-10-03,CLADOCERA,44.562796059851266
AL,2005,2005-10-03,COPEPODA,95.95249393309189
AL,2005,2005-10-03,ROTIFERA,4.198002296165826
AL,2005,2005-11-08,CLADOCERA,27.456392892846303
AL,2005,2005-11-08,COPEPODA,75.1937999936076
AL,2005,2005-11-08,ROTIFERA,1.6567474988654816
AL,2006,2006-02-27,CLADOCERA,68.01668060347099
AL,2006,2006-02-27,COPEPODA,3.7429340689239297
AL,2006,2006-02-27,ROTIFERA,0.08986736402867196
AL,2006,2006-04-20,COPEPODA,18.272440617682566
AL,2006,2006-04-20,ROTIFERA,0.48987056808259344
AL,2006,2006-05-16,CLADOCERA,138.8900183647449
AL,2006,2006-05-16,COPEPODA,232.71221093960438
AL,2006,2006-05-16,ROTIFERA,9.889762234102799
AL,2006,2006-06-12,CLADOCERA,50.47556432340812
AL,2006,2006-06-12,COPEPODA,76.64210469744813
AL,2006,2006-06-12,ROTIFERA,3.7960345367709465
AL,2006,2006-07-11,CLADOCERA,60.00573070671301
AL,2006,2006-07-11,COPEPODA,90.66094071245051
AL,2006,2006-07-11,ROTIFERA,10.684038783774556
AL,2006,2006-08-09,CLADOCERA,206.561036389311
AL,2006,2006-08-09,COPEPODA,144.4425340329075
AL,2006,2006-08-09,ROTIFERA,18.311812656458166
AL,2006,2006-09-05,CLADOCERA,158.84124233350693
AL,2006,2006-09-05,COPEPODA,228.84053794515194
AL,2006,2006-09-05,ROTIFERA,7.623600225664659
AL,2006,2006-10-04,CLADOCERA,261.3571309926466
AL,2006,2006-10-04,COPEPODA,158.98444062099327
AL,2006,2006-10-04,ROTIFERA,12.217875335457348
AL,2006,2006-10-31,CLADOCERA,193.49536779092
AL,2006,2006-10-31,COPEPODA,105.09205153554895
AL,2006,2006-10-31,ROTIFERA,3.8350865755390218
AL,2007,2007-02-23,CLADOCERA,66.90842145539004
AL,2007,2007-02-23,COPEPODA,24.550598471322104
AL,2007,2007-02-23,ROTIFERA,0.1538149362415709
AL,2007,2007-04-23,CLADOCERA,14.536486105031603
AL,2007,2007-04-23,COPEPODA,80.6629034076765
AL,2007,2007-04-23,ROTIFERA,2.3247073309467363
AL,2007,2007-05-21,CLADOCERA,17.946699771963623
AL,2007,2007-05-21,COPEPODA,13.522563720126923
AL,2007,2007-05-21,ROTIFERA,4.31435172226778
AL,2007,2007-06-19,CLADOCERA,63.947952441620934
AL,2007,2007-06-19,COPEPODA,49.52694201249269
AL,2007,2007-06-19,ROTIFERA,13.645976064519335
AL,2007,2007-07-16,CLADOCERA,291.6366354511048
AL,2007,2007-07-16,COPEPODA,206.5861165107148
AL,2007,2007-07-16,ROTIFERA,11.90316292210682
AL,2007,2007-08-15,CLADOCERA,179.72341615400393
AL,2007,2007-08-15,COPEPODA,57.22654382153291
AL,2007,2007-08-15,ROTIFERA,2.4375059721856807
AL,2007,2007-09-10,CLADOCERA,48.03158433121129
AL,2007,2007-09-10,COPEPODA,99.84224066364276
AL,2007,2007-09-10,ROTIFERA,7.855303472911861
AL,2007,2007-10-08,CLADOCERA,108.89971343270018
AL,2007,2007-10-08,COPEPODA,80.03991843427728
AL,2007,2007-10-08,ROTIFERA,3.799999096374674
AL,2007,2007-11-08,CLADOCERA,181.46180652868068
AL,2007,2007-11-08,COPEPODA,85.19864358616738
AL,2007,2007-11-08,ROTIFERA,1.9250830316902001
AL,2008,2008-03-03,CLADOCERA,17.946699771963623
AL,2008,2008-03-03,COPEPODA,23.547010813436447
AL,2008,2008-03-03,ROTIFERA,0.08475482200169633
AL,2008,2008-05-08,CLADOCERA,8.655099873761555
AL,2008,2008-05-08,COPEPODA,54.87084321283797
AL,2008,2008-05-08,ROTIFERA,2.664642971194726
AL,2008,2008-06-02,CLADOCERA,270.91119161301
AL,2008,2008-06-02,COPEPODA,39.65129710114753
AL,2008,2008-06-02,ROTIFERA,3.576456831148668
AL,2008,2008-06-30,CLADOCERA,2.8704088880682064
AL,2008,2008-06-30,COPEPODA,4.909372943018092
AL,2008,2008-06-30,ROTIFERA,6.620277407052354
AL,2008,2008-07-28,CLADOCERA,3.835455300997795
AL,2008,2008-07-28,COPEPODA,193.93648160034667
AL,2008,2008-07-28,ROTIFERA,4.9626975422246336
AL,2008,2008-08-25,CLADOCERA,360.98829513155715
AL,2008,2008-08-25,COPEPODA,144.07177750425285
AL,2008,2008-08-25,ROTIFERA,1.4303449738043519
AL,2008,2008-09-22,CLADOCERA,323.1002143699843
AL,2008,2008-09-22,COPEPODA,204.68059299460106
AL,2008,2008-09-22,ROTIFERA,5.30137192748819
AL,2008,2008-10-20,CLADOCERA,303.79476219784743
AL,2008,2008-10-20,COPEPODA,148.4210875754173
AL,2008,2008-10-20,ROTIFERA,3.146302001265073
AL,2008,2008-11-06,CLADOCERA,147.45035650384534
AL,2008,2008-11-06,COPEPODA,75.23858982613686
AL,2008,2008-11-06,ROTIFERA,2.001373791736154
AL,2009,2009-02-23,CLADOCERA,125.05732081621576
AL,2009,2009-02-23,COPEPODA,43.196537080483765
AL,2009,2009-02-23,ROTIFERA,0.0299855382022961
AL,2009,2009-04-27,CLADOCERA,38.610202035061334
AL,2009,2009-04-27,COPEPODA,98.62701941615217
AL,2009,2009-04-27,ROTIFERA,4.017606125717876
AL,2009,2009-05-26,CLADOCERA,52.12584499122938
AL,2009,2009-05-26,COPEPODA,37.24609396410049
AL,2009,2009-05-26,ROTIFERA,3.326367981995239
AL,2009,2009-06-22,CLADOCERA,4.677021480808263
