species_name,eqn,larger_group,c1,c2,c3
MANFREDIUM EUDACTYLOTUM,pow,ROTIFERA,10,3,NA
MESOCYCLOPS,pow,COPEPODA,11.728,1.625,NA
MESOCYCLOPS EDAX,pow,COPEPODA,11.728,1.625,NA
MONOMMATA,NA,NA,NA,NA,NA
MONOMMATA SPP.,pow,ROTIFERA,12,3,NA
MONOSTYLA,NA,NA,NA,NA,NA
MONOSTYLA BULLA,NA,NA,NA,NA,NA
MONOSTYLA LUNARIS,pow,ROTIFERA,12,3,NA
MONOSTYLA OBTUSA,pow,ROTIFERA,12,3,NA
MONOSTYLA SPP.,pow,ROTIFERA,12,3,NA
MONOSTYLA STENROOSI,NA,NA,NA,NA,NA
MYTILINA,NA,NA,NA,NA,NA
MYTILINIA,pow,ROTIFERA,3.5,3,NA
NOTHOLCA,NA,NA,NA,NA,NA
NOTHOLCA ACUMINATA,pow,ROTIFERA,3.5,3,NA
NOTHOLCA FOLIACEA,NA,NA,NA,NA,NA
NOTHOLCA LABIS,NA,NA,NA,NA,NA
NOTHOLCA MICHIGANENSIS,pow,ROTIFERA,3.5,3,NA
NOTHOLCA SPP.,pow,ROTIFERA,3.5,3,NA
NOTHOLCA SQUAMULA,pow,ROTIFERA,3.5,3,NA
NOTOMMATA,NA,NA,NA,NA,NA
NOTOMMATA SPP.,pow,ROTIFERA,15,3,NA
OPHRYOXUS GRACILIS,NA,NA,NA,NA,NA
ORTHOCYCLOPS MODESTUS,pow,COPEPODA,10.968,1.634,NA
PARACYCLOPS FIMBRIATUS POPPEI,pow,COPEPODA,10.968,1.634,NA
PLEUROXUS PROCURVUS,NA,NA,NA,NA,NA
PLOESOMA,NA,NA,NA,NA,NA
PLOESOMA HUDSONI,NA,NA,NA,NA,NA
PLOESOMA LENTICULARE,pow,ROTIFERA,23,3,NA
PLOESOMA SPP.,pow,ROTIFERA,23,3,NA
PLOESOMA TRUNCATUM,NA,NA,NA,NA,NA
POLYARTHRA,pow,ROTIFERA,28,3,NA
POLYARTHRA DOLICHOPTERA,pow,ROTIFERA,28,3,NA
POLYARTHRA EURYPTERA,pow,ROTIFERA,28,3,NA
POLYARTHRA MAJOR,pow,ROTIFERA,28,3,NA
POLYARTHRA REMATA,pow,ROTIFERA,28,3,NA
POLYARTHRA VULGARIS,pow,ROTIFERA,28,3,NA
POLYPHEMUS,const,CLADOCERA,NA,NA,NA
POLYPHEMUS PEDICULUS,const,CLADOCERA,NA,NA,NA
POMPHOLYX,pow,ROTIFERA,15,3,NA
SCAPHOLEBERIS,NA,NA,NA,NA,NA
SIMOCEPHALUS,NA,NA,NA,NA,NA
SINOBOSMINA FRYEI,NA,NA,NA,NA,NA
SKISTODIAPTOMUS,pow,COPEPODA,6.1927,1.9604,NA
SKISTODIAPTOMUS OREGONENSIS,pow,COPEPODA,6.1927,1.9604,NA
SKISTODIAPTOMUS PALLIDUS,pow,COPEPODA,6.1927,1.9604,NA
SYNCHAETA,NA,NA,NA,NA,NA
SYNCHAETA - CONTRACTED,pow,ROTIFERA,10,3,NA
SYNCHAETA SPP.,pow,ROTIFERA,10,3,NA
TESTUDINELLA REFLEXA,NA,NA,NA,NA,NA
TRICHOCERCA,NA,NA,NA,NA,NA
TRICHOCERCA BIROSTRIS,complex,ROTIFERA,NA,NA,NA
TRICHOCERCA CAPUCINA,NA,NA,NA,NA,NA
TRICHOCERCA CYLINDRICA,complex,ROTIFERA,NA,NA,NA
TRICHOCERCA LONGISETA,complex,ROTIFERA,NA,NA,NA
TRICHOCERCA MULTICRINIS,complex,ROTIFERA,NA,NA,NA
TRICHOCERCA PORCELLUS,NA,NA,NA,NA,NA
TRICHOCERCA  PORCELLUS,complex,ROTIFERA,NA,NA,NA
TRICHOCERCA PUSILLA,NA,NA,NA,NA,NA
TRICHOCERCA ROUSSELETI,complex,ROTIFERA,NA,NA,NA
TRICHOCERCA SIMILAS,complex,ROTIFERA,NA,NA,NA
TRICHOCERCA SIMILIS,NA,NA,NA,NA,NA
TRICHOCERCA SP. 2,complex,ROTIFERA,NA,NA,NA
TRICHOCERCA SPP.,complex,ROTIFERA,NA,NA,NA
TRICHOTRIA,NA,NA,NA,NA,NA
TRICHOTRIA TETRACTIS,NA,NA,NA,NA,NA
TROCHOSPHAERA SOLSTITIALIS,NA,ROTIFERA,NA,NA,NA
TROPOCYCLOPS,NA,NA,NA,NA,NA
TROPOCYCLOPS PRASINUS MEXICANUS,pow,COPEPODA,10.968,1.634,NA
UNIDENTIFIED,NA,NA,NA,NA,NA
UNKNOWN,NA,NA,NA,NA,NA
UNKNOWN CLADOCERAN,NA,CLADOCERA,NA,NA,NA
UNKNOWN EGG-SHAPED ROTIFER,NA,NA,NA,NA,NA
UNKNOWN ROTIFER,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
