"species_name","eqn","larger_group","c1","c2","c3"
"LEPTODIAPTOMUS SICILIS","pow","COPEPODA",10.308,1.761,"NA"
"LEPTODORA KINDTI","const","CLADOCERA",8.5,"NA","NA"
"LEPTODORA KINDTII","const","CLADOCERA",8.5,"NA","NA"
"LEYDIGIA","pow","CLADOCERA",14.0793,1.9796,"NA"
"LEYDIGIA ACANTHOCERCOIDES","pow","CLADOCERA",14.0793,1.9796,"NA"
"LUMPED BOSMINA","pow","CLADOCERA",17.7369,2.2291,"NA"
"LUMPED CERIODAPHNIA","pow","CLADOCERA",4.0216,1.9763,"NA"
"LUMPED DIAPHANOSOMA","pow","CLADOCERA",5.0713,1.0456,"NA"
"LUMPED HOLOPEDIUM","pow","CLADOCERA",12.1825,3.3,"NA"
"MANFREDIUM","pow","ROTIFERA",10,3,"NA"
"MANFREDIUM EUDACTYLOTUM","pow","ROTIFERA",10,3,"NA"
"MESOCYCLOPS","pow","COPEPODA",11.728,1.625,"NA"
"MESOCYCLOPS EDAX","pow","COPEPODA",11.728,1.625,"NA"
"MONOMMATA","pow","ROTIFERA",12,3,"NA"
"MONOMMATA SPP.","pow","ROTIFERA",12,3,"NA"
"MONOSTYLA","pow","ROTIFERA",12,3,"NA"
"MONOSTYLA BULLA","pow","ROTIFERA",12,3,"NA"
"MONOSTYLA LUNARIS","pow","ROTIFERA",12,3,"NA"
"MONOSTYLA OBTUSA","pow","ROTIFERA",12,3,"NA"
"MONOSTYLA SPP.","pow","ROTIFERA",12,3,"NA"
"MONOSTYLA STENROOSI","pow","ROTIFERA",12,3,"NA"
"MYTILINA","pow","ROTIFERA",3.5,3,"NA"
"MYTILINIA","pow","ROTIFERA",3.5,3,"NA"
"NA","NA","NA","NA","NA","NA"
"NOTHOLCA","pow","ROTIFERA",3.5,3,"NA"
"NOTHOLCA ACUMINATA","pow","ROTIFERA",3.5,3,"NA"
"NOTHOLCA FOLIACEA","pow","ROTIFERA",3.5,3,"NA"
"NOTHOLCA LABIS","pow","ROTIFERA",3.5,3,"NA"
"NOTHOLCA MICHIGANENSIS","pow","ROTIFERA",3.5,3,"NA"
"NOTHOLCA SPP.","pow","ROTIFERA",3.5,3,"NA"
"NOTHOLCA SQUAMULA","pow","ROTIFERA",3.5,3,"NA"
"NOTOMMATA","pow","ROTIFERA",15,3,"NA"
"NOTOMMATA SPP.","pow","ROTIFERA",15,3,"NA"
"OPHRYOXUS GRACILIS","pow","CLADOCERA",10.9317,1.5302,"NA"
"ORTHOCYCLOPS MODESTUS","pow","COPEPODA",10.968,1.634,"NA"
"PARACYCLOPS FIMBRIATUS POPPEI","pow","COPEPODA",10.968,1.634,"NA"
"PLEUROXUS PROCURVUS","pow","CLADOCERA",14.0793,1.9796,"NA"
"PLOESOMA","pow","ROTIFERA",23,3,"NA"
"PLOESOMA HUDSONI","pow","ROTIFERA",23,3,"NA"
"PLOESOMA LENTICULARE","pow","ROTIFERA",23,3,"NA"
"PLOESOMA SPP.","pow","ROTIFERA",23,3,"NA"
"PLOESOMA TRUNCATUM","pow","ROTIFERA",23,3,"NA"
"POLYARTHRA","pow","ROTIFERA",28,3,"NA"
"POLYARTHRA DOLICHOPTERA","pow","ROTIFERA",28,3,"NA"
"POLYARTHRA EURYPTERA","pow","ROTIFERA",28,3,"NA"
"POLYARTHRA MAJOR","pow","ROTIFERA",28,3,"NA"
"POLYARTHRA REMATA","pow","ROTIFERA",28,3,"NA"
"POLYARTHRA VULGARIS","pow","ROTIFERA",28,3,"NA"
"POLYPHEMUS","const","CLADOCERA",2.9,"NA","NA"
"POLYPHEMUS PEDICULUS","const","CLADOCERA",2.9,"NA","NA"
"POMPHOLYX","pow","ROTIFERA",15,3,"NA"
"SCAPHOLEBERIS","pow","CLADOCERA",9.631,1.719,"NA"
"SIMOCEPHALUS","pow","CLADOCERA",9.631,1.719,"NA"
"SINOBOSMINA FRYEI","pow","CLADOCERA",17.7369,2.2291,"NA"
"SKISTODIAPTOMUS","pow","COPEPODA",6.1927,1.9604,"NA"
"SKISTODIAPTOMUS OREGONENSIS","pow","COPEPODA",6.1927,1.9604,"NA"
"SKISTODIAPTOMUS PALLIDUS","pow","COPEPODA",6.1927,1.9604,"NA"
"SYNCHAETA","pow","ROTIFERA",10,3,"NA"
"SYNCHAETA - CONTRACTED","pow","ROTIFERA",10,3,"NA"
"SYNCHAETA SPP.","pow","ROTIFERA",10,3,"NA"
"TESTUDINELLA REFLEXA","complex","ROTIFERA",52,0.33,"NA"
"TRICHOCERCA","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA  PORCELLUS","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA BIROSTRIS","complex","ROTIFERA",52,0.33,"NA"
"TRICHOCERCA CAPUCINA","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA CYLINDRICA","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA LONGISETA","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA MULTICRINIS","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA PORCELLUS","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA PUSILLA","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA ROUSSELETI","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA SIMILAS","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA SIMILIS","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA SP. 2","complex","ROTIFERA",52,0.25,"NA"
"TRICHOCERCA SPP.","complex","ROTIFERA",52,0.25,"NA"
"TRICHOTRIA","complex","ROTIFERA",52,0.25,"NA"
"TRICHOTRIA TETRACTIS","complex","ROTIFERA",52,0.25,"NA"
"TROCHOSPHAERA SOLSTITIALIS","NA","ROTIFERA","NA","NA","NA"
"TROPOCYCLOPS","pow","COPEPODA",10.968,1.634,"NA"
"TROPOCYCLOPS PRASINUS MEXICANUS","pow","COPEPODA",10.968,1.634,"NA"
"UNIDENTIFIED","NA","NA","NA","NA","NA"
"UNKNOWN","NA","NA","NA","NA","NA"
"UNKNOWN CLADOCERAN","NA","CLADOCERA","NA","NA","NA"
"UNKNOWN EGG-SHAPED ROTIFER","NA","NA","NA","NA","NA"
"UNKNOWN ROTIFER","NA","ROTIFERA","NA","NA","NA"
