"larger_group","species","length","mass_formula","legnth_reference","mass_formula_reference","notes","eqn","c1","c2","c3"
"CLADOCERA","Bosmina longirostris",0.46,"=17.7369*(C28^2.2291)","Balcer","Culver et. al. for Bosmina longirostris",,"pow",,,
"CLADOCERA","Bosmina and Eubosmina",0.36,"=17.7369*(C29^2.2291)","LR","Culver et. al. for Bosmina longirostris",,"pow",,,
"CLADOCERA","Ceriodaphnia",0.85,"=4.0216*(C30^1.9763)","Balcer for C.l.","Culver et. al. for C. lacustris",,"pow",,,
"CLADOCERA","Ceriodaphnia lacustris ",0.85,"=4.0216*(C31^1.9763)","Balcer","Culver et. al. for C. lacustris",,"pow",,,
"CLADOCERA","Chydorid",0.22,"=14.0793*(C32^1.9796)","TR","Culver et. al. for Chydorus sphaericus",,"pow",,,
"CLADOCERA","Chydorus",0.22,"=14.0793*(C33^1.9796)","TR","Culver et. al. for Chydorus sphaericus",,"pow",,,
"CLADOCERA","Daphnia",0.6,"=9.631*(C34^1.719)","assigned","LRL for D. catawba",,"pow",,,
"CLADOCERA","Daphnia catawba",0.87,"=9.631*(C35^1.719)","LR","LRL for D. catawba",,"pow",,,
"CLADOCERA","Daphnia dubia",0.78,"=10.9317*(C36^1.5302)","LR","Culver et. al. for D. galeata mendotae, std length",,"pow",,,
"CLADOCERA","Daphnia galeata mendotae ",0.94,"=10.9317*(C37^1.5302)","SP","Culver et. al. for D. galeata mendotae, std length",,"pow",,,
"CLADOCERA","Daphnia longiremis",0.67,"=10.9317*(C38^1.5302)","TR","Culver et. al. for D. galeata mendotae, std length",,"pow",,,
"CLADOCERA","Daphnia parvula",0.69,"=10.9317*(C39^1.5302)","LR","Culver et. al. for D. galeata mendotae, std length",,"pow",,,
"CLADOCERA","Daphnia pulex ",0.87,"=9.631*(C40^1.719)","LR for D. catawba","LRL for D. catawba",,"pow",,,
"CLADOCERA","Daphnia retrocurva ",0.87,"=7.5484*(C41^2.7552)","SP","Culver et. al. for D. retrocurva, standard length",,"pow",,,
"CLADOCERA","Daphnia rosea ",0.87,"=9.631*(C42^1.719)","LR for D. catawba","LRL for D. catawba",,"pow",,,
"CLADOCERA","Daphnia schodleri",0.87,"=9.631*(C43^1.719)","LR for D. catawba","LRL for D. catawba",,"pow",,,
"CLADOCERA","Diaphanosoma",0.6,"=5.0713*(C44^1.0456)","LR for D.b.","Culver for D. leuchtenbergianum",,"pow",,,
"CLADOCERA","Diaphanosoma birgei",0.6,"=5.0713*(C45^1.0456)","LR","Culver for D. leuchtenbergianum",,"pow",,,
"CLADOCERA","Holopedium",0.65,"=12.1825*(C46^3.3)","LR for H.g.","Yan and Mackie using 'contracted length'",,"pow",,,
"CLADOCERA","Holopedium gibberum",0.65,"=12.1825*(C47^3.3)","LR","Yan and Mackie using 'contracted length'",,"pow",,,
"CLADOCERA","Ilyocryptus spinifer",,,,,,"NA",,,
"CLADOCERA","Leptodora kindti",,8.5,,"Hawkins and Evans",,"const",,,
"CLADOCERA","Polyphemus",,2.9,,"Hawkins and Evans",,"const",,,
"CLADOCERA","Polyphemus pediculus",,2.9,,"Hawkins and Evans",,"const",,,
"CLADOCERA","Lumped Bosmina",0.46,"=17.7369*(C52^2.2291)","Balcer","Culver et. al. for Bosmina longirostris",,"pow",,,
"CLADOCERA","Lumped Ceriodaphnia",0.85,"=4.0216*(C53^1.9763)","Balcer","Culver et. al. for C. lacustris",,"pow",,,
"CLADOCERA","Lumped Diaphanosoma",0.6,"=5.0713*(C54^1.0456)","LR","Culver for D. leuchtenbergianum",,"pow",,,
"CLADOCERA","Lumped Holopedium",0.65,"=12.1825*(C55^3.3)","LR","Yan and Mackie using 'contracted length'",,"pow",,,
"ROTIFERA","Anuraeopsis",0.09,"=(3*(C56^3))",,"All rotifer wts are calculated using volume",,"pow",,,
"ROTIFERA","Ascomorpha spp.",0.1,"=(12*(C57^3))","assigned","formulas from Ruttner-Kolisko",,"pow",,,
"ROTIFERA","Ascomorpha ecaudis",0.15,"=(12*(C58^3))","Stemberger",,,"pow",,,
"ROTIFERA","Ascomorpha ovalis",0.09,"=(12*(C59^3))","LR",,,"pow",,,
"ROTIFERA","Asplanchna spp.",0.46,"=(8.97*(C60^3))","LR",,,"pow",,,
"ROTIFERA","Brachionus",0.18,"=12*(C61^3)","Stemberger",,,"pow",,,
"ROTIFERA","Brachionus quadridentatus ",0.18,"=12*(C62^3)","Stemberger",,,"pow",,,
"ROTIFERA","Brachionus urceolaris",0.18,"=12*(C63^3)","Stemberger",,,"pow",,,
"ROTIFERA","Cephalodella",0.15,"=12*(C64^3)","Stemberger","Used Ascomorpha formula",,"pow",,,
"ROTIFERA","Collotheca ",0.04,"=180*(C65^3)","LR",,,"pow",,,
"ROTIFERA","Collotheca w/o case",0.04,"=180*(C66^3)","LR",,,"pow",,,
"ROTIFERA","Collotheca empty case",,,,,,"NA",,,
"ROTIFERA","Collotheca mutabilis*",0.04,"=180*(C68^3)","LR",,,"pow",,,
"ROTIFERA","Collurella",0.08,"=12*(C69^3)","Stemberger",,,"pow",,,
"ROTIFERA","Conochiloides sp.*",0.08,"=86*(C70^3)","LR",,,"pow",,,
"ROTIFERA","Conochilus spp.*",0.06,"=120*(C71^3)","LR",,,"pow",,,
"ROTIFERA","Conochilus unicornis",0.06,"=120*(C72^3)","LR for Conochilus",,,"pow",,,
"ROTIFERA","Euchlanis ",0.12,"=10*(C73^3)","LR",,,"pow",,,
"ROTIFERA","Euchlanis pellucida",0.3,"=10*(C74^3)","Stemberger",,,"pow",,,
"ROTIFERA","Filinia ",0.11,"=13*(C75^3)","TR",,,"pow",,,
"ROTIFERA","Filinia terminalis",0.13,"=13*(C76^3)","Stemberger",,,"pow",,,
"ROTIFERA","Gastropus spp.",0.09,"=20*(C77^3)","mean of LR spp.",,,"pow",,,
"ROTIFERA","Gastropus hyptopus",0.09,"=20*(C78^3)","LR",,,"pow",,,
"ROTIFERA","Gastropus stylifer",0.08,"=26*(C79^3)","LR",,,"pow",,,
"ROTIFERA","Kellicottia",0.12,"=3*(C80^3)","mean of LR spp.",,,"pow",,,
"ROTIFERA","Kellicottia bostoniensis",0.11,"=3*(C81^3)","LR",,,"pow",,,
"ROTIFERA","Kellicottia longispina",0.13,"=3*(C82^3)","LR",,,"pow",,,
"ROTIFERA","Keratella spp.",0.1,"=2*(C83^3)","assigned",,,"pow",,,
"ROTIFERA","Keratella cochlearis",0.09,"=2*(C84^3)","LR",,,"pow",,,
"ROTIFERA","Keratella cochlearis v. tecta",0.11,"=2*(C85^3)","assigned",,,"pow",,,
"ROTIFERA","Keratella crassa",0.12,"=2*(C86^3)","LR",,,"pow",,,
"ROTIFERA","Keratella earlinae",0.1,"=2*(C87^3)","TR",,,"pow",,,
"ROTIFERA","Keratella hiemalis",0.12,"=22*(C88^3)","LR",,,"pow",,,
"ROTIFERA","Keratella quadrata",0.16,"=22*(C89^3)","TR",,,"pow",,,
"ROTIFERA","Keratella serrulata ",0.11,"=2*(C90^3)","assigned",,,"pow",,,
"ROTIFERA","Keratella taurocephala",0.12,"=2*(C91^3)","LR",,,"pow",,,
"ROTIFERA","Keratella testudo",0.11,"=22*(C92^3)","assigned",,,"pow",,,
"ROTIFERA","Keratella serrulata f. curvicornis",0.11,"=2*(C93^3)","assigned",,,"pow",,,
"ROTIFERA","Lecane spp.",0.1,"=12*(C94^3)","assigned",,,"pow",,,
"ROTIFERA","Lecane clara ",0.1,"=12*(C95^3)","Stemberger",,,"pow",,,
"ROTIFERA","Lecane inermis  ",0.05,"=12*(C96^3)","TR",,,"pow",,,
"ROTIFERA","Lecane leontina",0.15,"=12*(C97^3)","Stemberger",,,"pow",,,
"ROTIFERA","Lecane mira",0.15,"=12*(C98^3)","Stemberger",,,"pow",,,
"ROTIFERA","Lecane tudicola",0.11,"=12*(C99^3)","Stemberger",,,"pow",,,
"ROTIFERA","Lepadella",0.1,"=10*(C100^3)","LR","used Euclanis formula",,"pow",,,
"ROTIFERA","Manfredium ",0.2,"=10*(C101^3)","Stemberger","used Euclanis formula (""related genus"" - Stemberger)",,"pow",,,
"ROTIFERA","Manfredium eudactylotum ",0.2,"=10*(C102^3)","Stemberger",,,"pow",,,
"ROTIFERA","Monommata spp.",0.11,"=12*(C103^3)","LR",,,"pow",,,
"ROTIFERA","Monostyla spp.",0.09,"=12*(C104^3)","LR",,,"pow",,,
"ROTIFERA","Monostyla lunaris",0.1,"=12*(C105^3)","TR",,,"pow",,,
"ROTIFERA","Monostyla obtusa",0.08,"=12*(C106^3)","Stemberger",,,"pow",,,
"ROTIFERA","Mytilinia",0.2,"=3.5*(C107^3)","Stemberger",,,"pow",,,
"ROTIFERA","Notholca spp.",0.15,"=3.5*(C108^3)","assigned",,,"pow",,,
"ROTIFERA","Notholca acuminata   ",0.25,"=3.5*(C109^3)","Stemberger",,,"pow",,,
"ROTIFERA","Notholca michiganensis ",0.2,"=3.5*(C110^3)","Stemberger",,,"pow",,,
"ROTIFERA","Notholca squamula",0.13,"=3.5*(C111^3)","Stemberger",,,"pow",,,
"ROTIFERA","Notommata spp.",0.12,"=15*(C112^3)","LR",,,"pow",,,
"ROTIFERA","Ploesoma spp.",0.11,"=23*(C113^3)","TR",,,"pow",,,
"ROTIFERA","Ploesoma lenticulare",0.22,"=23*(C114^3)","Stemberger",,,"pow",,,
"ROTIFERA","Polyarthra ",0.1,"=28*(C115^3)","assigned",,,"pow",,,
"ROTIFERA","Polyarthra dolichoptera",0.09,"=28*(C116^3)","LR",,,"pow",,,
"ROTIFERA","Polyarthra euryptera  ",0.18,"=28*(C117^3)","Stemberger",,,"pow",,,
"ROTIFERA","Polyarthra major",0.13,"=28*(C118^3)","LR",,,"pow",,,
"ROTIFERA","Polyarthra remata",0.08,"=28*(C119^3)","LR",,,"pow",,,
"ROTIFERA","Polyarthra vulgaris",0.1,"=28*(C120^3)","LR",,,"pow",,,
"ROTIFERA","Pompholyx ",0.11,"=15*(C121^3)","Stemberger",,,"pow",,,
"ROTIFERA","Synchaeta spp.",0.18,"=10*(C122^3)","LR",,,"pow",,,
"ROTIFERA","Synchaeta - contracted",0.18,"=10*(C123^3)","LR",,,"pow",,,
"ROTIFERA","Trichocerca spp.",0.15,"=52*C124*((0.25*C124)^2)","assigned",,,"complex",,,
"ROTIFERA","Trichocerca  porcellus",0.15,"=52*C125*((0.25*C125)^2)","Stemberger",,,"complex",,,
"ROTIFERA","Trichocerca cylindrica",0.28,"=52*C126*((0.25*C126)^2)","LR",,,"complex",,,
"ROTIFERA","Trichocerca birostris",0.09,"=52*C127*((0.33*C127)^2)","LR",,,"complex",,,
"ROTIFERA","Trichocerca longiseta",0.2,"=52*C128*((0.25*C128)^2)","Stemberger",,,"complex",,,
"ROTIFERA","Trichocerca multicrinis",0.19,"=52*C129*((0.25*C129)^2)","LR",,,"complex",,,
"ROTIFERA","Trichocerca rousseleti",0.09,"=52*C130*((0.25*C130)^2)","LR for T. birostris",,,"complex",,,
"ROTIFERA","Trichocerca similas  ",0.09,"=52*C131*((0.25*C131)^2)","LR for T. birostris",,,"complex",,,
"ROTIFERA","Trichocerca sp. 2",0.28,"=52*C132*((0.25*C132)^2)","LR for T. cylindrica",,,"complex",,,
"ROTIFERA","Trochosphaera solstitialis ",,,,,,,,,
