species_name,Origin_Spp_Name,eqn,c1,c2,c3,Origin_formula
CAMPTOCERCUS RECTIROSTRIS,na,pow,14.0793,1.9796,NA,na
CEPHALODELLA,Cephalodella,pow,12,3,NA,=12*(C64^3)
CERIODAPHNIA,Ceriodaphnia::Ceriodaphnia lacustris::Lumped Ceriodaphnia,pow,4.0216,1.9763,NA,=4.0216*(C30^1.9763)::=4.0216*(C31^1.9763)::=4.0216*(C53^1.9763)
CERIODAPHNIA DUBIA,na,pow,4.0216,1.9763,NA,na
CERIODAPHNIA LACUSTRIS,Ceriodaphnia lacustris,pow,4.0216,1.9763,NA,=4.0216*(C31^1.9763)
CHAOBORUS,na,NA,NA,NA,NA,na
CHYDORID,Chydorid,pow,14.0793,1.9796,NA,=14.0793*(C32^1.9796)
CHYDORUS,Chydorus,pow,14.0793,1.9796,NA,=14.0793*(C33^1.9796)
CLADOCERAN,Unknown Cladoceran,pow,10.9317,1.5302,NA,"NA"
COLLOTHECA,Collotheca::Collotheca w/o case::Collotheca empty case::Collotheca mutabilis*,pow,180,3,NA,=180*(C65^3)::=180*(C66^3)::NA::=180*(C68^3)
COLLOTHECA EMPTY CASE,Collotheca empty case,NA,NA,NA,NA,"NA"
COLLOTHECA MUTABILIS,Collotheca mutabilis*,pow,180,3,NA,=180*(C68^3)
COLLOTHECA MUTABILIS*,Collotheca mutabilis*,pow,180,3,NA,=180*(C68^3)
COLLOTHECA W/O CASE,Collotheca w/o case,pow,180,3,NA,=180*(C66^3)
COLLURELLA,Collurella,pow,12,3,NA,=12*(C69^3)
COLURELLA,Collurella,pow,12,3,NA,=12*(C69^3)
CONOCHILOIDES,Conochiloides sp.*,pow,86,3,NA,=86*(C70^3)
CONOCHILOIDES SP.*,Conochiloides sp.*,pow,86,3,NA,=86*(C70^3)
CONOCHILUS,Conochilus spp.*::Conochilus unicornis,pow,86,3,NA,=120*(C71^3)::=120*(C72^3)
CONOCHILUS HIPPOCREPIS,na,pow,120,3,NA,na
CONOCHILUS SPP.*,Conochilus spp.*,pow,120,3,NA,=120*(C71^3)
CONOCHILUS UNICORNIS,Conochilus unicornis,pow,120,3,NA,=120*(C72^3)
COPEPOD NAUPLII,Copepod Nauplii,pow,3.0093,1.7064,NA,=3.0093*(C2^1.7064)
COPEPODITES,na,pow,10.968,1.634,NA,na
CYCLOPOID,Cyclopoid,pow,10.968,1.634,NA,=10.968*(C3^1.634)
DAPHNIA,Ceriodaphnia::Ceriodaphnia lacustris::Daphnia::Daphnia catawba::Daphnia dubia::Daphnia galeata mendotae::Daphnia longiremis::Daphnia parvula::Daphnia pulex::Daphnia retrocurva::Daphnia rosea::Daphnia schodleri::Lumped Ceriodaphnia,pow,9.631,1.719,NA,=4.0216*(C30^1.9763)::=4.0216*(C31^1.9763)::=9.631*(C34^1.719)::=9.631*(C35^1.719)::=10.9317*(C36^1.5302)::=10.9317*(C37^1.5302)::=10.9317*(C38^1.5302)::=10.9317*(C39^1.5302)::=9.631*(C40^1.719)::=7.5484*(C41^2.7552)::=9.631*(C42^1.719)::=9.631*(C43^1.719)::=4.0216*(C53^1.9763)
DAPHNIA AMBIGUA,na,pow,9.631,1.719,NA,na
DAPHNIA CATAWBA,Daphnia catawba,pow,9.631,1.719,NA,=9.631*(C35^1.719)
DAPHNIA DENTIFERA,na,pow,9.631,1.719,NA,na
DAPHNIA DUBIA,Daphnia dubia,pow,10.9317,1.5302,NA,=10.9317*(C36^1.5302)
DAPHNIA GALEATA MENDOTAE,Daphnia galeata mendotae,pow,10.9317,1.5302,NA,=10.9317*(C37^1.5302)
DAPHNIA LONGIREMIS,Daphnia longiremis,pow,10.9317,1.5302,NA,=10.9317*(C38^1.5302)
DAPHNIA MENDOTAE,na,pow,9.631,1.719,NA,na
DAPHNIA PARVULA,Daphnia parvula,pow,10.9317,1.5302,NA,=10.9317*(C39^1.5302)
DAPHNIA PULEX,Daphnia pulex,pow,9.631,1.719,NA,=9.631*(C40^1.719)
DAPHNIA PULICARIA,na,pow,9.631,1.719,NA,na
DAPHNIA RETROCURVA,Daphnia retrocurva,pow,7.5484,2.7552,NA,=7.5484*(C41^2.7552)
DAPHNIA ROSEA,Daphnia rosea,pow,9.631,1.719,NA,=9.631*(C42^1.719)
DAPHNIA SCHODLERI,Daphnia schodleri,pow,9.631,1.719,NA,=9.631*(C43^1.719)
DIACYCLOPS,Diacyclops::Diacyclops thomasi,pow,14.571,2.557,NA,=14.571*(C5^2.557)::=14.571*(C6^2.557)
DIACYCLOPS THOMASI,Diacyclops thomasi,pow,14.571,2.557,NA,=14.571*(C6^2.557)
DIAPHANOSOMA,Diaphanosoma::Diaphanosoma birgei::Lumped Diaphanosoma,pow,5.0713,1.0456,NA,=5.0713*(C44^1.0456)::=5.0713*(C45^1.0456)::=5.0713*(C54^1.0456)
DIAPHANOSOMA BIRGEI,Diaphanosoma birgei,pow,5.0713,1.0456,NA,=5.0713*(C45^1.0456)
DIAPTOMID,na,pow,10.968,1.634,NA,na
ENCENTRUM,na,NA,NA,NA,NA,na
EPISCHURA LACUSTRIS,Epischura lacustris,exp,1.467,2.4741,NA,=EXP(1.467+2.4741*LN(C15))
ERGASILUS,Ergasilus,NA,NA,NA,NA,"NA"
EUCHLANIS,Euchlanis::Euchlanis pellucida,pow,10,3,NA,=10*(C73^3)::=10*(C74^3)
EUCHLANIS PELLUCIDA,Euchlanis pellucida,pow,10,3,NA,=10*(C74^3)
EUCYCLOPS,Eucyclops agilis::Eucyclops speratus,pow,10.968,1.634,NA,=10.968*(C7^1.634)::=10.968*(C8^1.634)
EUCYCLOPS AGILIS,Eucyclops agilis,pow,10.968,1.634,NA,=10.968*(C7^1.634)
EUCYCLOPS ELEGANS,na,pow,10.968,1.634,NA,na
EUCYCLOPS SPERATUS,Eucyclops speratus,pow,10.968,1.634,NA,=10.968*(C8^1.634)
FILINIA,Filinia::Filinia terminalis::Mytilinia,pow,13,3,NA,=13*(C75^3)::=13*(C76^3)::=3.5*(C107^3)
FILINIA TERMINALIS,Filinia terminalis,pow,13,3,NA,=13*(C76^3)
GASTROPUS,Gastropus spp.::Gastropus hyptopus::Gastropus stylifer,pow,20,3,NA,=20*(C77^3)::=20*(C78^3)::=26*(C79^3)
GASTROPUS HYPTOPUS,Gastropus hyptopus,pow,20,3,NA,=20*(C78^3)
GASTROPUS SPP.,Gastropus spp.,pow,20,3,NA,=20*(C77^3)
GASTROPUS STYLIFER,Gastropus stylifer,pow,26,3,NA,=26*(C79^3)
HARPACTICOID,Harpacticoid,NA,NA,NA,NA,"NA"
HEXARTHRA,na,NA,NA,NA,NA,na
HOLOPEDIUM,Holopedium::Holopedium gibberum::Lumped Holopedium,pow,12.1825,3.3,NA,=12.1825*(C46^3.3)::=12.1825*(C47^3.3)::=12.1825*(C55^3.3)
HOLOPEDIUM GIBBERUM,Holopedium gibberum,pow,12.1825,3.3,NA,=12.1825*(C47^3.3)
ILYOCRYPTUS SPINIFER,Ilyocryptus spinifer,NA,NA,NA,NA,"NA"
KELLICOTTIA,Kellicottia::Kellicottia bostoniensis::Kellicottia longispina,pow,3,3,NA,=3*(C80^3)::=3*(C81^3)::=3*(C82^3)
KELLICOTTIA BOSTONIENSIS,Kellicottia bostoniensis,pow,3,3,NA,=3*(C81^3)
KELLICOTTIA LONGISPINA,Kellicottia longispina,pow,3,3,NA,=3*(C82^3)
KERATELLA,Keratella spp.::Keratella cochlearis::Keratella cochlearis v. tecta::Keratella crassa::Keratella earlinae::Keratella hiemalis::Keratella quadrata::Keratella serrulata::Keratella taurocephala::Keratella testudo::Keratella serrulata f. curvicornis,pow,2,3,NA,=2*(C83^3)::=2*(C84^3)::=2*(C85^3)::=2*(C86^3)::=2*(C87^3)::=22*(C88^3)::=22*(C89^3)::=2*(C90^3)::=2*(C91^3)::=22*(C92^3)::=2*(C93^3)
KERATELLA COCHLEARIS,Keratella cochlearis::Keratella cochlearis v. tecta,pow,2,3,NA,=2*(C84^3)::=2*(C85^3)
KERATELLA COCHLEARIS F. TECTA,Keratella cochlearis v. tecta,pow,2,3,NA,=2*(C85^3)
KERATELLA COCHLEARIS V. TECTA,Keratella cochlearis v. tecta,pow,2,3,NA,=2*(C85^3)
KERATELLA CRASSA,Keratella crassa,pow,2,3,NA,=2*(C86^3)
KERATELLA EARLINAE,Keratella earlinae,pow,2,3,NA,=2*(C87^3)
KERATELLA HIEMALIS,Keratella hiemalis,pow,22,3,NA,=22*(C88^3)
KERATELLA QUADRATA,Keratella quadrata,pow,22,3,NA,=22*(C89^3)
KERATELLA SERRULATA,Keratella serrulata::Keratella serrulata f. curvicornis,pow,2,3,NA,=2*(C90^3)::=2*(C93^3)
KERATELLA SERRULATA F. CURVICORNIS,Keratella serrulata f. curvicornis,pow,2,3,NA,=2*(C93^3)
KERATELLA SPP.,Keratella spp.,pow,2,3,NA,=2*(C83^3)
KERATELLA TAUROCEPHALA,Keratella taurocephala,pow,2,3,NA,=2*(C91^3)
KERATELLA TESTUDO,Keratella testudo,pow,22,3,NA,=22*(C92^3)
KERATELLA TICINENSIS,na,pow,2,3,NA,na
LECANE,Lecane spp.::Lecane clara::Lecane inermis::Lecane leontina::Lecane mira::Lecane tudicola,pow,12,3,NA,=12*(C94^3)::=12*(C95^3)::=12*(C96^3)::=12*(C97^3)::=12*(C98^3)::=12*(C99^3)
LECANE CLARA,Lecane clara,pow,12,3,NA,=12*(C95^3)
LECANE INERMIS,Lecane inermis,pow,12,3,NA,=12*(C96^3)
LECANE LEONTINA,Lecane leontina,pow,12,3,NA,=12*(C97^3)
LECANE MIRA,Lecane mira,pow,12,3,NA,=12*(C98^3)
LECANE SPP.,Lecane spp.,pow,12,3,NA,=12*(C94^3)
LECANE TENUISETA,na,pow,12,3,NA,na
LECANE TUDICOLA,Lecane tudicola,pow,12,3,NA,=12*(C99^3)
LEPADELLA,Lepadella,pow,10,3,NA,=10*(C100^3)
LEPADELLA ACUMINATA,na,pow,10,3,NA,na
LEPADELLA PATELLA,na,pow,10,3,NA,na
LEPADELLA TRIPTERA,na,pow,10,3,NA,na
LEPTODIAPTOMUS,Leptodiaptomus::Leptodiaptomus minutus::Leptodiaptomus sicilis,pow,10.308,1.761,NA,=10.308*(C17^1.761)::=10.308*(C18^1.761)::=10.308*(C19^1.761)
LEPTODIAPTOMUS MINUTUS,Leptodiaptomus minutus,pow,10.308,1.761,NA,=10.308*(C18^1.761)
LEPTODIAPTOMUS SICILIS,Leptodiaptomus sicilis,pow,10.308,1.761,NA,=10.308*(C19^1.761)
LEPTODORA KINDTI,Leptodora kindti,const,8.5,NA,NA,8.5
LEPTODORA KINDTII,Leptodora kindti,const,8.5,NA,NA,8.5
LEYDIGIA,na,pow,14.0793,1.9796,NA,na
LEYDIGIA ACANTHOCERCOIDES,na,pow,14.0793,1.9796,NA,na
LUMPED BOSMINA,Lumped Bosmina,pow,17.7369,2.2291,NA,=17.7369*(C52^2.2291)
LUMPED CERIODAPHNIA,Lumped Ceriodaphnia,pow,4.0216,1.9763,NA,=4.0216*(C53^1.9763)
LUMPED DIAPHANOSOMA,Lumped Diaphanosoma,pow,5.0713,1.0456,NA,=5.0713*(C54^1.0456)
LUMPED HOLOPEDIUM,Lumped Holopedium,pow,12.1825,3.3,NA,=12.1825*(C55^3.3)
MANFREDIUM,Manfredium::Manfredium eudactylotum,pow,10,3,NA,=10*(C101^3)::=10*(C102^3)
MANFREDIUM EUDACTYLOTUM,Manfredium eudactylotum,pow,10,3,NA,=10*(C102^3)
MESOCYCLOPS,Mesocyclops::Mesocyclops edax,pow,11.728,1.625,NA,=11.728*(C9^1.625)::=11.728*(C10^1.625)
MESOCYCLOPS EDAX,Mesocyclops edax,pow,11.728,1.625,NA,=11.728*(C10^1.625)
MONOMMATA,Monommata spp.,pow,12,3,NA,=12*(C103^3)
MONOMMATA SPP.,Monommata spp.::Notommata spp.,pow,12,3,NA,=12*(C103^3)::=15*(C112^3)
MONOSTYLA,Monostyla spp.::Monostyla lunaris::Monostyla obtusa,pow,12,3,NA,=12*(C104^3)::=12*(C105^3)::=12*(C106^3)
MONOSTYLA BULLA,na,pow,12,3,NA,na
MONOSTYLA LUNARIS,Monostyla lunaris,pow,12,3,NA,=12*(C105^3)
MONOSTYLA OBTUSA,Monostyla obtusa,pow,12,3,NA,=12*(C106^3)
MONOSTYLA SPP.,Monostyla spp.,pow,12,3,NA,=12*(C104^3)
MONOSTYLA STENROOSI,na,pow,12,3,NA,na
MYTILINA,Mytilinia,pow,3.5,3,NA,=3.5*(C107^3)
MYTILINIA,Mytilinia,pow,3.5,3,NA,=3.5*(C107^3)
NA,"NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA",NA,NA,NA,NA,"NA"
NOTHOLCA,Notholca spp.::Notholca acuminata::Notholca michiganensis::Notholca squamula,pow,3.5,3,NA,=3.5*(C108^3)::=3.5*(C109^3)::=3.5*(C110^3)::=3.5*(C111^3)
NOTHOLCA ACUMINATA,Notholca acuminata,pow,3.5,3,NA,=3.5*(C109^3)
NOTHOLCA FOLIACEA,na,pow,3.5,3,NA,na
NOTHOLCA LABIS,na,pow,3.5,3,NA,na
NOTHOLCA MICHIGANENSIS,Notholca michiganensis,pow,3.5,3,NA,=3.5*(C110^3)
NOTHOLCA SPP.,Notholca spp.,pow,3.5,3,NA,=3.5*(C108^3)
NOTHOLCA SQUAMULA,Notholca squamula,pow,3.5,3,NA,=3.5*(C111^3)
NOTOMMATA,Notommata spp.,pow,15,3,NA,=15*(C112^3)
NOTOMMATA SPP.,Monommata spp.::Notommata spp.,pow,15,3,NA,=12*(C103^3)::=15*(C112^3)
OPHRYOXUS GRACILIS,na,pow,10.9317,1.5302,NA,na
ORTHOCYCLOPS MODESTUS,Orthocyclops modestus,pow,10.968,1.634,NA,=10.968*(C11^1.634)
PARACYCLOPS FIMBRIATUS POPPEI,Paracyclops fimbriatus poppei,pow,10.968,1.634,NA,=10.968*(C12^1.634)
PLEUROXUS PROCURVUS,na,pow,14.0793,1.9796,NA,na
PLOESOMA,Ploesoma spp.::Ploesoma lenticulare,pow,23,3,NA,=23*(C113^3)::=23*(C114^3)
PLOESOMA HUDSONI,na,pow,23,3,NA,na
PLOESOMA LENTICULARE,Ploesoma lenticulare,pow,23,3,NA,=23*(C114^3)
PLOESOMA SPP.,Ploesoma spp.,pow,23,3,NA,=23*(C113^3)
PLOESOMA TRUNCATUM,na,pow,23,3,NA,na
POLYARTHRA,Polyarthra::Polyarthra dolichoptera::Polyarthra euryptera::Polyarthra major::Polyarthra remata::Polyarthra vulgaris,pow,28,3,NA,=28*(C115^3)::=28*(C116^3)::=28*(C117^3)::=28*(C118^3)::=28*(C119^3)::=28*(C120^3)
POLYARTHRA DOLICHOPTERA,Polyarthra dolichoptera,pow,28,3,NA,=28*(C116^3)
POLYARTHRA EURYPTERA,Polyarthra euryptera,pow,28,3,NA,=28*(C117^3)
POLYARTHRA MAJOR,Polyarthra major,pow,28,3,NA,=28*(C118^3)
POLYARTHRA REMATA,Polyarthra remata,pow,28,3,NA,=28*(C119^3)
POLYARTHRA VULGARIS,Polyarthra vulgaris,pow,28,3,NA,=28*(C120^3)
POLYPHEMUS,Polyphemus::Polyphemus pediculus,const,2.9,NA,NA,2.9
POLYPHEMUS PEDICULUS,Polyphemus pediculus,const,2.9,NA,NA,2.9
POMPHOLYX,Pompholyx,pow,15,3,NA,=15*(C121^3)
SCAPHOLEBERIS,na,pow,9.631,1.719,NA,na
SIMOCEPHALUS,na,pow,9.631,1.719,NA,na
SINOBOSMINA FRYEI,na,pow,17.7369,2.2291,NA,na
SKISTODIAPTOMUS,Skistodiaptomus::Skistodiaptomus oregonensis::Skistodiaptomus pallidus,pow,6.1927,1.9604,NA,=6.1927*(C20^1.9604)::=6.1927*(C21^1.9604)::=6.1927*(C22^1.9604)
SKISTODIAPTOMUS OREGONENSIS,Skistodiaptomus oregonensis,pow,6.1927,1.9604,NA,=6.1927*(C21^1.9604)
SKISTODIAPTOMUS PALLIDUS,Skistodiaptomus pallidus,pow,6.1927,1.9604,NA,=6.1927*(C22^1.9604)
SYNCHAETA,Synchaeta spp.::Synchaeta - contracted,pow,10,NA,NA,=10*(C122^3)::=10*(C123^3)
SYNCHAETA - CONTRACTED,Synchaeta - contracted,pow,10,3,NA,=10*(C123^3)
SYNCHAETA SPP.,Synchaeta spp.,pow,10,3,NA,=10*(C122^3)
TESTUDINELLA REFLEXA,na,complex,52,0.33,NA,na
TRICHOCERCA,Trichocerca spp.::Trichocerca  porcellus::Trichocerca cylindrica::Trichocerca birostris::Trichocerca longiseta::Trichocerca multicrinis::Trichocerca rousseleti::Trichocerca similas::Trichocerca sp. 2,complex,52,0.25,NA,=52*C124*((0.25*C124)^2)::=52*C125*((0.25*C125)^2)::=52*C126*((0.25*C126)^2)::=52*C127*((0.33*C127)^2)::=52*C128*((0.25*C128)^2)::=52*C129*((0.25*C129)^2)::=52*C130*((0.25*C130)^2)::=52*C131*((0.25*C131)^2)::=52*C132*((0.25*C132)^2)
TRICHOCERCA  PORCELLUS,Trichocerca  porcellus,complex,52,0.25,NA,=52*C125*((0.25*C125)^2)
TRICHOCERCA BIROSTRIS,Trichocerca birostris,complex,52,0.33,NA,=52*C127*((0.33*C127)^2)
TRICHOCERCA CAPUCINA,na,complex,52,0.25,NA,na
TRICHOCERCA CYLINDRICA,Trichocerca cylindrica,complex,52,0.25,NA,=52*C126*((0.25*C126)^2)
TRICHOCERCA LONGISETA,Trichocerca longiseta,complex,52,0.25,NA,=52*C128*((0.25*C128)^2)
TRICHOCERCA MULTICRINIS,Trichocerca multicrinis,complex,52,0.25,NA,=52*C129*((0.25*C129)^2)
TRICHOCERCA PORCELLUS,Trichocerca  porcellus,complex,52,0.25,NA,=52*C125*((0.25*C125)^2)
TRICHOCERCA PUSILLA,na,complex,52,0.25,NA,na
TRICHOCERCA ROUSSELETI,Trichocerca rousseleti,complex,52,0.25,NA,=52*C130*((0.25*C130)^2)
TRICHOCERCA SIMILAS,Trichocerca similas,complex,52,0.25,NA,=52*C131*((0.25*C131)^2)
TRICHOCERCA SIMILIS,Trichocerca similas,complex,52,0.25,NA,=52*C131*((0.25*C131)^2)
TRICHOCERCA SP. 2,Trichocerca sp. 2,complex,52,0.25,NA,=52*C132*((0.25*C132)^2)
TRICHOCERCA SPP.,Trichocerca spp.::Trichocerca sp. 2,complex,52,0.25,NA,=52*C124*((0.25*C124)^2)::=52*C132*((0.25*C132)^2)
TRICHOTRIA,na,complex,52,0.25,NA,na
TRICHOTRIA TETRACTIS,na,complex,52,0.25,NA,na
TROCHOSPHAERA SOLSTITIALIS,Trochosphaera solstitialis,NA,NA,NA,NA,"NA"
TROPOCYCLOPS,Tropocyclops prasinus mexicanus,pow,10.968,1.634,NA,=10.968*(C13^1.634)
TROPOCYCLOPS PRASINUS MEXICANUS,Tropocyclops prasinus mexicanus,pow,10.968,1.634,NA,=10.968*(C13^1.634)
UNIDENTIFIED,na,NA,NA,NA,NA,na
UNKNOWN,Unknown Cladoceran,NA,NA,NA,NA,"NA"
UNKNOWN CLADOCERAN,Unknown Cladoceran,NA,NA,NA,NA,"NA"
UNKNOWN EGG-SHAPED ROTIFER,na,NA,NA,NA,NA,na
UNKNOWN ROTIFER,na,complex,52,0.25,NA,na
