lakeid,year4,daynum,sampledate,extcoef,lightext_flag,comments
AL,1985,204,7/23/1985,0.864,,
AL,1985,219,8/7/1985,0.841,,
AL,1985,231,8/19/1985,1.94,,
AL,1985,255,9/12/1985,1.141,,
AL,1985,273,9/30/1985,0.636,,
AL,1985,295,10/22/1985,0.874,,
AL,1985,315,11/11/1985,,V,extcoef: Insufficient light data
AL,1986,16,1/16/1986,,V,extcoef: Insufficient light data
AL,1986,62,3/3/1986,,V,extcoef: Insufficient light data
AL,1986,90,3/31/1986,,V,extcoef: Ice depth is missing
AL,1986,114,4/24/1986,0.938,,
AL,1986,128,5/8/1986,0.655,,
AL,1986,140,5/20/1986,0.5,,
AL,1986,153,6/2/1986,0.687,,
AL,1986,169,6/18/1986,0.618,,
AL,1986,183,7/2/1986,0.701,,
AL,1986,197,7/16/1986,0.73,,
AL,1986,209,7/28/1986,0.798,,
AL,1986,225,8/13/1986,0.753,,
AL,1986,238,8/26/1986,0.779,,
AL,1986,253,9/10/1986,,V,extcoef: Insufficient light data
AL,1986,265,9/22/1986,0.658,,
AL,1986,282,10/9/1986,1.033,,
AL,1986,295,10/22/1986,0.887,,
AL,1986,307,11/3/1986,,V,extcoef: Insufficient light data
AL,1987,20,1/20/1987,,V,extcoef: Insufficient light data
AL,1987,55,2/24/1987,,V,extcoef: Insufficient light data
AL,1987,78,3/19/1987,0.747,,
AL,1987,105,4/15/1987,0.827,,
AL,1987,124,5/4/1987,0.644,,
AL,1987,138,5/18/1987,0.451,,
AL,1987,152,6/1/1987,0.668,,
AL,1987,162,6/11/1987,0.552,,
AL,1987,180,6/29/1987,0.755,,
AL,1987,194,7/13/1987,0.672,,
AL,1987,208,7/27/1987,0.742,,
AL,1987,225,8/13/1987,0.853,,
AL,1987,238,8/26/1987,0.998,,
AL,1987,253,9/10/1987,0.978,,
AL,1987,264,9/21/1987,1.02,,
AL,1987,278,10/5/1987,1.026,,
AL,1987,294,10/21/1987,0.685,,
AL,1987,309,11/5/1987,0.705,,
AL,1987,322,11/18/1987,0.671,,
AL,1988,11,1/11/1988,,V,extcoef: Insufficient light data
AL,1988,62,3/2/1988,,V,extcoef: Insufficient light data
AL,1988,81,3/21/1988,0.755,,
AL,1988,117,4/26/1988,0.769,,
AL,1988,130,5/9/1988,0.638,,
AL,1988,146,5/25/1988,0.584,,
AL,1988,159,6/7/1988,0.51,,
AL,1988,172,6/20/1988,0.626,,
AL,1988,186,7/4/1988,0.681,,
AL,1988,201,7/19/1988,0.677,,
AL,1988,216,8/3/1988,0.561,,
AL,1988,231,8/18/1988,0.697,,
AL,1988,243,8/30/1988,1.073,,
AL,1988,257,9/13/1988,1.248,,
AL,1988,272,9/28/1988,1.047,,
AL,1988,286,10/12/1988,0.82,,
AL,1988,299,10/25/1988,0.538,,
AL,1988,307,11/2/1988,0.523,,
AL,1989,11,1/11/1989,,V,extcoef: Insufficient light data
AL,1989,65,3/6/1989,,V,extcoef: Insufficient light data
AL,1989,86,3/27/1989,1.611,,
AL,1989,121,5/1/1989,0.821,,
AL,1989,136,5/16/1989,0.726,,
AL,1989,149,5/29/1989,0.472,,
AL,1989,164,6/13/1989,0.531,,
AL,1989,179,6/28/1989,0.579,,
AL,1989,193,7/12/1989,0.607,,
AL,1989,206,7/25/1989,0.725,,
AL,1989,219,8/7/1989,0.36,,
AL,1989,234,8/22/1989,0.763,,
AL,1989,249,9/6/1989,0.922,,
AL,1989,262,9/19/1989,1.332,,
AL,1989,277,10/4/1989,0.863,,
AL,1989,291,10/18/1989,0.624,,
AL,1989,304,10/31/1989,0.646,,
AL,1989,313,11/9/1989,0.634,,
AL,1990,24,1/24/1990,,V,extcoef: No light data
AL,1990,58,2/27/1990,,V,extcoef: Insufficient light data
AL,1990,86,3/27/1990,,V,extcoef: No light data
AL,1990,120,4/30/1990,0.75,,
AL,1990,137,5/17/1990,,V,extcoef: Light not monotonically decreasing
AL,1990,150,5/30/1990,0.542,,
AL,1990,164,6/13/1990,0.488,,
AL,1990,178,6/27/1990,0.575,,
AL,1990,190,7/9/1990,,V,extcoef: Light not monotonically decreasing
AL,1990,205,7/24/1990,0.655,,
AL,1990,220,8/8/1990,0.742,,
AL,1990,234,8/22/1990,0.816,,
AL,1990,247,9/4/1990,0.769,,
AL,1990,261,9/18/1990,1.12,,
AL,1990,276,10/3/1990,1.129,,
AL,1990,290,10/17/1990,1.205,,
AL,1990,304,10/31/1990,1.102,,
AL,1990,313,11/9/1990,1.327,,
AL,1991,17,1/17/1991,0.907,,
AL,1991,50,2/19/1991,,V,extcoef: Insufficient light data
AL,1991,84,3/25/1991,0.739,,
AL,1991,127,5/7/1991,0.771,,
AL,1991,141,5/21/1991,0.464,,
AL,1991,155,6/4/1991,0.635,,
AL,1991,169,6/18/1991,0.589,,
AL,1991,184,7/3/1991,0.614,,
AL,1991,196,7/15/1991,0.726,,
AL,1991,211,7/30/1991,0.742,,
AL,1991,225,8/13/1991,0.72,,
AL,1991,239,8/27/1991,0.79,,
AL,1991,253,9/10/1991,0.799,,
AL,1991,266,9/23/1991,,V,extcoef: Light not monotonically decreasing
AL,1991,282,10/9/1991,0.949,,
AL,1991,301,10/28/1991,,V,extcoef: Light not monotonically decreasing
AL,1992,17,1/17/1992,,V,extcoef: Insufficient light data
AL,1992,64,3/4/1992,0.916,,
AL,1992,83,3/23/1992,0.948,,
AL,1992,126,5/5/1992,1.178,,
AL,1992,139,5/18/1992,0.786,,
AL,1992,153,6/1/1992,0.699,,
AL,1992,171,6/19/1992,0.711,,
AL,1992,189,7/7/1992,0.762,,
AL,1992,197,7/15/1992,,V,extcoef: No light data
AL,1992,211,7/29/1992,0.824,,
AL,1992,225,8/12/1992,0.726,,
AL,1992,239,8/26/1992,0.65,,
AL,1992,255,9/11/1992,1.204,,
AL,1992,265,9/21/1992,1.134,,
AL,1992,280,10/6/1992,0.788,,
AL,1992,295,10/21/1992,0.701,,
AL,1992,311,11/6/1992,0.788,,
AL,1993,8,1/8/1993,,V,extcoef: Insufficient light data
AL,1993,54,2/23/1993,1.035,,
AL,1993,82,3/23/1993,0.659,,
AL,1993,123,5/3/1993,0.978,,
AL,1993,137,5/17/1993,0.854,,
AL,1993,155,6/4/1993,,V,extcoef: Light not monotonically decreasing
AL,1993,167,6/16/1993,,V,extcoef: No light data
AL,1993,181,6/30/1993,0.404,,
AL,1993,193,7/12/1993,0.7,,
AL,1993,207,7/26/1993,0.642,,
AL,1993,223,8/11/1993,0.587,,
AL,1993,238,8/26/1993,0.615,,
AL,1993,252,9/9/1993,0.821,,
AL,1993,265,9/22/1993,0.466,,
AL,1993,277,10/4/1993,0.955,,
AL,1993,294,10/21/1993,,V,extcoef: Light not monotonically decreasing
AL,1993,307,11/3/1993,0.777,,
AL,1994,10,1/10/1994,,V,extcoef: No light data
AL,1994,53,2/22/1994,0.75,,
AL,1994,88,3/29/1994,,V,extcoef: Insufficient light data
AL,1994,123,5/3/1994,0.817,,
AL,1994,140,5/20/1994,0.684,,
AL,1994,157,6/6/1994,,V,extcoef: Light not monotonically decreasing
AL,1994,164,6/13/1994,0.571,,
AL,1994,178,6/27/1994,0.628,,
AL,1994,193,7/12/1994,0.777,,
AL,1994,208,7/27/1994,0.817,,
AL,1994,220,8/8/1994,0.748,,
AL,1994,237,8/25/1994,0.901,,
AL,1994,252,9/9/1994,,V,extcoef: Light not monotonically decreasing
AL,1994,264,9/21/1994,0.823,,
AL,1994,278,10/5/1994,1.141,,
AL,1994,290,10/17/1994,1.023,,
AL,1994,304,10/31/1994,0.95,,
AL,1994,321,11/17/1994,0.863,,
AL,1995,11,1/11/1995,,V,extcoef: Insufficient light data
AL,1995,52,2/21/1995,,V,extcoef: Insufficient light data
AL,1995,121,5/1/1995,0.822,,
AL,1995,135,5/15/1995,0.711,,
AL,1995,150,5/30/1995,0.703,,
AL,1995,163,6/12/1995,0.663,,
AL,1995,177,6/26/1995,0.752,,
AL,1995,191,7/10/1995,0.661,,
AL,1995,207,7/26/1995,0.775,,
AL,1995,220,8/8/1995,0.84,,
AL,1995,233,8/21/1995,0.919,,
AL,1995,250,9/7/1995,,V,extcoef: Light not monotonically decreasing
AL,1995,261,9/18/1995,1.232,,
AL,1995,275,10/2/1995,1.075,,
AL,1995,289,10/16/1995,1.154,,
AL,1995,303,10/30/1995,,V,extcoef: Light not monotonically decreasing
AL,1995,348,12/14/1995,,V,extcoef: Insufficient light data
AL,1996,16,1/16/1996,,V,extcoef: Insufficient light data
AL,1996,51,2/20/1996,,V,extcoef: No light data
AL,1996,99,4/8/1996,,V,extcoef: No light data
AL,1996,135,5/14/1996,1.059,,
AL,1996,151,5/30/1996,0.863,,
AL,1996,164,6/12/1996,0.568,,
AL,1996,179,6/27/1996,0.838,,
AL,1996,193,7/11/1996,,V,extcoef: Light not monotonically decreasing
AL,1996,204,7/22/1996,0.833,,
AL,1996,221,8/8/1996,0.754,,
AL,1996,234,8/21/1996,,V,extcoef: Light not monotonically decreasing
AL,1996,247,9/3/1996,0.744,,
AL,1996,260,9/16/1996,1.011,,
AL,1996,276,10/2/1996,1.303,,
AL,1996,290,10/16/1996,,V,extcoef: Light not monotonically decreasing
AL,1996,309,11/4/1996,1.51,,
AL,1997,20,1/20/1997,,V,extcoef: Insufficient light data
AL,1997,57,2/26/1997,,V,extcoef: Insufficient light data
AL,1997,78,3/19/1997,,V,extcoef: Insufficient light data
AL,1997,133,5/13/1997,0.909,,
AL,1997,140,5/20/1997,0.821,,
AL,1997,154,6/3/1997,0.694,,
AL,1997,167,6/16/1997,0.729,,
AL,1997,183,7/2/1997,0.626,,
AL,1997,196,7/15/1997,,V,extcoef: No light data
AL,1997,212,7/31/1997,,V,extcoef: No light data
AL,1997,226,8/14/1997,,V,extcoef: Light not monotonically decreasing
AL,1997,239,8/27/1997,,V,extcoef: No light data
AL,1997,251,9/8/1997,0.761,,
AL,1997,268,9/25/1997,1.31,,
AL,1997,280,10/7/1997,1.31,,
AL,1997,293,10/20/1997,1.976,,
AL,1997,311,11/7/1997,1.015,,
AL,1998,19,1/19/1998,,V,extcoef: Insufficient light data
AL,1998,55,2/24/1998,0.765,,
AL,1998,75,3/16/1998,0.932,,
AL,1998,112,4/22/1998,0.841,,
AL,1998,124,5/4/1998,0.798,,
AL,1998,138,5/18/1998,0.739,,
AL,1998,152,6/1/1998,0.631,,
AL,1998,168,6/17/1998,0.684,,
AL,1998,180,6/29/1998,0.782,,
AL,1998,194,7/13/1998,0.822,,
AL,1998,210,7/29/1998,0.81,,
AL,1998,223,8/11/1998,0.791,,
AL,1998,237,8/25/1998,0.831,,
AL,1998,252,9/9/1998,0.862,,
AL,1998,265,9/22/1998,0.971,,
AL,1998,278,10/5/1998,1.315,,
AL,1998,292,10/19/1998,1.332,,
AL,1998,308,11/4/1998,1.024,,
AL,1999,21,1/21/1999,,V,extcoef: Insufficient light data
AL,1999,56,2/25/1999,,V,extcoef: Insufficient light data
AL,1999,82,3/23/1999,0.728,,
AL,1999,126,5/6/1999,0.675,,
AL,1999,137,5/17/1999,,V,extcoef: Light not monotonically decreasing
AL,1999,155,6/4/1999,0.559,,
AL,1999,167,6/16/1999,0.694,,
AL,1999,179,6/28/1999,0.775,,
AL,1999,195,7/14/1999,0.642,,
AL,1999,209,7/28/1999,0.699,,
AL,1999,222,8/10/1999,0.707,,
AL,1999,238,8/26/1999,0.706,,
AL,1999,250,9/7/1999,0.847,,
AL,1999,265,9/22/1999,1.326,,
AL,1999,277,10/4/1999,1.135,,
AL,1999,292,10/19/1999,0.862,,
AL,1999,309,11/5/1999,0.848,,
AL,2000,26,1/26/2000,,V,extcoef: Insufficient light data
AL,2000,55,2/24/2000,0.67,,
AL,2000,94,4/3/2000,0.694,,
AL,2000,115,4/24/2000,0.671,,
AL,2000,125,5/4/2000,0.577,,
AL,2000,137,5/16/2000,0.525,,
AL,2000,154,6/2/2000,0.565,,
AL,2000,165,6/13/2000,0.354,,
AL,2000,181,6/29/2000,0.663,,
AL,2000,194,7/12/2000,0.458,,
AL,2000,206,7/24/2000,0.769,,
AL,2000,222,8/9/2000,0.711,,
AL,2000,236,8/23/2000,,V,extcoef: Light not monotonically decreasing
AL,2000,252,9/8/2000,1.149,,
AL,2000,263,9/19/2000,1.015,,
AL,2000,276,10/2/2000,1.188,,
AL,2000,290,10/16/2000,0.79,,
AL,2000,304,10/30/2000,0.799,,
AL,2000,320,11/15/2000,0.578,,
AL,2001,26,1/26/2001,0.591,,
AL,2001,61,3/2/2001,0.679,,
AL,2001,92,4/2/2001,0.568,,
AL,2001,121,5/1/2001,0.82,,
AL,2001,134,5/14/2001,0.605,,
AL,2001,149,5/29/2001,0.516,,
AL,2001,162,6/11/2001,0.569,,
AL,2001,176,6/25/2001,0.708,,
AL,2001,191,7/10/2001,0.676,,
AL,2001,204,7/23/2001,0.689,,
AL,2001,218,8/6/2001,0.688,,
AL,2001,235,8/23/2001,0.705,,
AL,2001,248,9/5/2001,0.684,,
AL,2001,260,9/17/2001,0.678,,
AL,2001,276,10/3/2001,0.716,,
AL,2001,288,10/15/2001,0.821,,
AL,2001,302,10/29/2001,0.814,,
AL,2001,318,11/14/2001,,V,extcoef: Light not monotonically decreasing
AL,2002,23,1/23/2002,0.676,,
AL,2002,64,3/5/2002,0.541,,
AL,2002,94,4/4/2002,0.119,,
AL,2002,113,4/23/2002,0.748,,
AL,2002,126,5/6/2002,0.747,,
AL,2002,140,5/20/2002,,V,extcoef: Light not monotonically decreasing
AL,2002,154,6/3/2002,0.581,,
AL,2002,168,6/17/2002,,V,extcoef: Light not monotonically decreasing
AL,2002,182,7/1/2002,0.646,,
AL,2002,197,7/16/2002,,V,extcoef: No light data
AL,2002,213,8/1/2002,,V,extcoef: No light data
AL,2002,226,8/14/2002,0.759,,
AL,2002,238,8/26/2002,0.73,,
AL,2002,252,9/9/2002,,V,extcoef: Light not monotonically decreasing
AL,2002,267,9/24/2002,0.894,,
AL,2002,282,10/9/2002,1.128,,
AL,2002,294,10/21/2002,0.886,,
AL,2002,308,11/4/2002,0.945,,
AL,2003,24,1/24/2003,0.551,,
AL,2003,57,2/26/2003,0.897,,
AL,2003,120,4/30/2003,,V,extcoef: Light not monotonically decreasing
AL,2003,135,5/15/2003,0.751,,
AL,2003,149,5/29/2003,,V,extcoef: No light data
AL,2003,162,6/11/2003,0.737,,
AL,2003,174,6/23/2003,0.674,,
AL,2003,188,7/7/2003,0.744,,
AL,2003,204,7/23/2003,0.706,,
AL,2003,218,8/6/2003,0.775,,
AL,2003,230,8/18/2003,0.779,,
AL,2003,245,9/2/2003,,V,extcoef: Light not monotonically decreasing
AL,2003,260,9/17/2003,0.85,,
AL,2003,273,9/30/2003,0.754,,
AL,2003,286,10/13/2003,0.807,,
AL,2003,303,10/30/2003,1.025,,
AL,2003,323,11/19/2003,0.722,,
AL,2004,14,1/14/2004,,V,extcoef: Insufficient light data
AL,2004,50,2/19/2004,,V,extcoef: Insufficient light data
AL,2004,91,3/31/2004,0.608,,
AL,2004,118,4/27/2004,,V,extcoef: No light data
AL,2004,131,5/10/2004,,V,extcoef: No light data
AL,2004,145,5/24/2004,0.632,,
AL,2004,159,6/7/2004,0.646,,
AL,2004,173,6/21/2004,0.724,,
AL,2004,189,7/7/2004,0.564,,
AL,2004,204,7/22/2004,0.612,,
AL,2004,215,8/2/2004,0.674,,
AL,2004,229,8/16/2004,0.627,,
AL,2004,245,9/1/2004,0.806,,
AL,2004,254,9/10/2004,0.885,,
AL,2004,274,9/30/2004,0.854,,
AL,2004,285,10/11/2004,0.724,,
AL,2004,299,10/25/2004,0.878,,
AL,2004,314,11/9/2004,0.801,,
AL,2005,10,1/10/2005,0.887,,
AL,2005,54,2/23/2005,0.688,,
AL,2005,91,4/1/2005,,V,extcoef: Light not monotonically decreasing
AL,2005,109,4/19/2005,0.965,,
AL,2005,123,5/3/2005,,V,extcoef: Light not monotonically decreasing
AL,2005,136,5/16/2005,0.478,,
AL,2005,151,5/31/2005,0.473,,
AL,2005,165,6/14/2005,0.461,,
AL,2005,178,6/27/2005,0.645,,
AL,2005,192,7/11/2005,0.617,,
AL,2005,207,7/26/2005,0.654,,
AL,2005,220,8/8/2005,0.779,,
AL,2005,235,8/23/2005,0.716,,
AL,2005,249,9/6/2005,0.775,,
AL,2005,265,9/22/2005,,V,extcoef: Light not monotonically decreasing
AL,2005,276,10/3/2005,0.868,,
AL,2005,293,10/20/2005,1.223,,
AL,2005,312,11/8/2005,0.925,,
AL,2006,10,1/10/2006,,V,extcoef: Insufficient light data
AL,2006,58,2/27/2006,0.777,,
AL,2006,87,3/28/2006,0.461,,
AL,2006,110,4/20/2006,1.079,,
AL,2006,121,5/1/2006,1.123,,
AL,2006,136,5/16/2006,0.604,,
AL,2006,150,5/30/2006,0.523,,
AL,2006,163,6/12/2006,0.558,,
AL,2006,177,6/26/2006,0.697,,
AL,2006,192,7/11/2006,0.587,,
AL,2006,206,7/25/2006,0.741,,
AL,2006,221,8/9/2006,0.582,,
AL,2006,233,8/21/2006,0.667,,
AL,2006,248,9/5/2006,0.704,,
AL,2006,262,9/19/2006,0.735,,
AL,2006,277,10/4/2006,0.837,,
AL,2006,289,10/16/2006,0.516,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,2006,304,10/31/2006,0.525,J,extcoef: Calculated from raw light profile; not corrected for changes in surface light
AL,2007,24,1/24/2007,0.601,,
AL,2007,54,2/23/2007,,V,extcoef: Light not monotonically decreasing
AL,2007,85,3/26/2007,0.576,,
AL,2007,113,4/23/2007,0.662,,
AL,2007,127,5/7/2007,0.461,,
AL,2007,141,5/21/2007,0.506,,
AL,2007,155,6/4/2007,0.521,,
AL,2007,170,6/19/2007,,V,extcoef: Light not monotonically decreasing
AL,2007,185,7/4/2007,0.646,,
AL,2007,197,7/16/2007,,V,extcoef: Light not monotonically decreasing
AL,2007,211,7/30/2007,0.631,,
AL,2007,227,8/15/2007,0.642,,
AL,2007,242,8/30/2007,0.792,,
AL,2007,253,9/10/2007,0.767,,
AL,2007,270,9/27/2007,0.887,,
AL,2007,281,10/8/2007,0.756,,
AL,2007,295,10/22/2007,0.834,,
AL,2007,312,11/8/2007,0.541,,
AL,2008,15,1/15/2008,0.537,,
AL,2008,63,3/3/2008,0.599,,
AL,2008,85,3/25/2008,0.499,,
AL,2008,129,5/8/2008,0.776,,
AL,2008,140,5/19/2008,0.615,,
AL,2008,154,6/2/2008,0.464,,
AL,2008,171,6/19/2008,0.558,,
AL,2008,182,6/30/2008,0.641,,
AL,2008,197,7/15/2008,0.689,,
AL,2008,210,7/28/2008,0.656,,
AL,2008,225,8/12/2008,0.687,,
AL,2008,238,8/25/2008,0.891,,
AL,2008,253,9/9/2008,0.974,,
AL,2008,266,9/22/2008,0.924,,
AL,2008,280,10/6/2008,0.836,,
AL,2008,294,10/20/2008,0.67,,
AL,2008,311,11/6/2008,0.481,,
AL,2009,20,1/20/2009,,V,extcoef: No light data
AL,2009,54,2/23/2009,0.506,,
AL,2009,76,3/17/2009,0.512,,
AL,2009,117,4/27/2009,0.674,,
AL,2009,132,5/12/2009,0.545,,
AL,2009,146,5/26/2009,0.528,,
AL,2009,159,6/8/2009,0.542,,
AL,2009,173,6/22/2009,0.518,,
AL,2009,187,7/6/2009,0.578,,
AL,2009,202,7/21/2009,0.621,,
AL,2009,216,8/4/2009,0.59,,
AL,2009,231,8/19/2009,0.715,,
AL,2009,243,8/31/2009,0.911,,
AL,2009,257,9/14/2009,0.771,,
AL,2009,272,9/29/2009,1.043,,
AL,2009,287,10/14/2009,0.839,,
AL,2009,299,10/26/2009,0.556,,
AL,2009,313,11/9/2009,0.717,,
AL,2010,19,1/19/2010,0.622,,
AL,2010,47,2/16/2010,0.358,,
AL,2010,81,3/22/2010,0.534,,
AL,2010,102,4/12/2010,0.678,,
AL,2010,117,4/27/2010,0.4,,
AL,2010,132,5/12/2010,0.486,,
AL,2010,144,5/24/2010,0.501,,
AL,2010,158,6/7/2010,0.556,,
AL,2010,173,6/22/2010,,V,extcoef: Light not monotonically decreasing
AL,2010,189,7/8/2010,0.799,,
AL,2010,200,7/19/2010,0.786,,
AL,2010,214,8/2/2010,0.71,,
AL,2010,230,8/18/2010,0.848,,
AL,2010,243,8/31/2010,0.877,,
AL,2010,256,9/13/2010,1.13,,
AL,2010,272,9/29/2010,0.984,,
AL,2010,285,10/12/2010,0.973,,
AL,2010,301,10/28/2010,0.928,,
AL,2010,314,11/10/2010,0.893,,
AL,2011,19,1/19/2011,,V,extcoef: Insufficient light data
AL,2011,46,2/15/2011,,V,extcoef: Insufficient light data
AL,2011,75,3/16/2011,0.814,,
AL,2011,122,5/2/2011,1,,
AL,2011,137,5/17/2011,0.825,,
AL,2011,151,5/31/2011,0.666,,
AL,2011,164,6/13/2011,0.668,,
AL,2011,178,6/27/2011,0.622,,
AL,2011,193,7/12/2011,0.643,,
AL,2011,206,7/25/2011,0.865,,
AL,2011,220,8/8/2011,0.885,,
AL,2011,234,8/22/2011,0.707,,
AL,2011,250,9/7/2011,0.908,,
AL,2011,262,9/19/2011,0.987,,
AL,2011,278,10/5/2011,0.739,,
AL,2011,290,10/17/2011,0.852,,
AL,2011,304,10/31/2011,0.749,,
AL,2011,315,11/11/2011,0.94,,
AL,2012,16,1/16/2012,0.721,,
AL,2012,54,2/23/2012,0.507,,
AL,2012,94,4/3/2012,0.852,,
AL,2012,107,4/16/2012,0.761,,
AL,2012,121,4/30/2012,0.582,,
AL,2012,135,5/14/2012,0.649,,
AL,2012,150,5/29/2012,0.565,,
AL,2012,163,6/11/2012,0.58,,
AL,2012,178,6/26/2012,0.811,,
AL,2012,192,7/10/2012,0.834,,
AL,2012,207,7/25/2012,0.634,,
AL,2012,219,8/6/2012,0.939,,
AL,2012,233,8/20/2012,0.915,,
AL,2012,248,9/4/2012,0.879,,
AL,2012,263,9/19/2012,1.08,,
AL,2012,275,10/1/2012,0.718,,
AL,2012,292,10/18/2012,0.541,,
AL,2012,306,11/1/2012,0.548,,
AL,2012,314,11/9/2012,0.522,,
AL,2013,25,1/25/2013,0.782,,
AL,2013,56,2/25/2013,0.475,,
AL,2013,86,3/27/2013,0.469,,
AL,2013,134,5/14/2013,0.858,,
AL,2013,161,6/10/2013,0.621,,
AL,2013,177,6/26/2013,0.556,,
AL,2013,192,7/11/2013,0.775,,
AL,2013,219,8/7/2013,0.587,,
AL,2013,231,8/19/2013,0.562,,
AL,2013,246,9/3/2013,0.949,,
AL,2013,274,10/1/2013,0.955,,
AL,2013,303,10/30/2013,0.788,,
AL,2013,311,11/7/2013,0.771,,
AL,2014,17,1/17/2014,0.798,,
AL,2014,77,3/18/2014,0.769,,
AL,2014,86,3/27/2014,0.617,,
AL,2014,140,5/20/2014,1.278,,
AL,2014,153,6/2/2014,0.936,,
AL,2014,168,6/17/2014,0.813,,
AL,2014,183,7/2/2014,0.874,,
AL,2014,195,7/14/2014,0.934,,
AL,2014,211,7/30/2014,0.952,,
AL,2014,224,8/12/2014,0.794,,
AL,2014,238,8/26/2014,0.943,,
AL,2014,251,9/8/2014,0.748,,
AL,2014,267,9/24/2014,1.08,,
AL,2014,279,10/6/2014,1.186,,
AL,2014,294,10/21/2014,1.069,,
AL,2014,307,11/3/2014,1.013,,
AL,2015,19,1/19/2015,1.121,,
AL,2015,55,2/24/2015,1.038,,
AL,2015,82,3/23/2015,0.932,,
AL,2015,111,4/21/2015,1.145,,
AL,2015,125,5/5/2015,0.825,,
AL,2015,139,5/19/2015,0.746,,
AL,2015,153,6/2/2015,0.768,,
AL,2015,169,6/18/2015,0.838,,
AL,2015,181,6/30/2015,0.721,,
AL,2015,194,7/13/2015,0.796,,
AL,2015,208,7/27/2015,0.831,,
AL,2015,222,8/10/2015,0.849,,
AL,2015,238,8/26/2015,0.918,,
AL,2015,251,9/8/2015,0.799,,
AL,2015,264,9/21/2015,0.747,,
AL,2015,279,10/6/2015,0.869,,
AL,2015,292,10/19/2015,0.785,,
AL,2015,313,11/9/2015,0.848,,
