lakeid,year4,sampledate,total_biomass,larger_group
AL,1993,1993-06-04,191.69843534391657,DAPHNIA
AL,1993,1993-08-26,8.35813470138946,DAPHNIA
AL,1993,1993-11-03,5.764125474870423,DAPHNIA
AL,1994,1994-06-13,12.73620525926013,DAPHNIA
AL,1994,1994-08-25,4.097874579840301,DAPHNIA
AL,1995,1995-06-12,1.9900320717593951,DAPHNIA
AL,1995,1995-08-21,33.55134812244246,DAPHNIA
AL,1996,1996-05-14,1.2934855875711149,DAPHNIA
AL,1996,1996-06-12,2.676307445085065,DAPHNIA
AL,1996,1996-08-08,6.9575390330578175,DAPHNIA
AL,1997,1997-06-16,1.8591839364338907,DAPHNIA
AL,1997,1997-08-27,0.7236016337310334,DAPHNIA
AL,1998,1998-06-17,141.902170739683,DAPHNIA
AL,1998,1998-08-11,6.246485053438354,DAPHNIA
AL,1998,1998-11-04,133.36548435189118,DAPHNIA
AL,1999,1999-02-25,1004.5971246147456,DAPHNIA
AL,1999,1999-05-06,70.72997505555333,DAPHNIA
AL,1999,1999-06-28,24.262603920596167,DAPHNIA
AL,1999,1999-08-26,130.47912689193885,DAPHNIA
AL,1999,1999-11-05,263.84574095841936,DAPHNIA
AL,2000,2000-02-24,6.409535632844151,DAPHNIA
AL,2000,2000-04-03,20.510514025101287,DAPHNIA
AL,2000,2000-06-02,80.76014897383631,DAPHNIA
AL,2000,2000-08-23,7.0447112810705175,DAPHNIA
AL,2000,2000-11-15,288.5357433217397,DAPHNIA
AL,2001,2001-03-02,17.265117342993364,DAPHNIA
AL,2001,2001-05-01,8.75614111574134,DAPHNIA
AL,2001,2001-06-25,2.3880384861112742,DAPHNIA
AL,2001,2001-08-23,2.8172887736402075,DAPHNIA
AL,2001,2001-11-14,486.6925776256875,DAPHNIA
AL,2002,2002-03-05,128.05271743590967,DAPHNIA
AL,2002,2002-04-23,43.584842303340224,DAPHNIA
AL,2002,2002-05-20,57.685820695597364,DAPHNIA
AL,2002,2002-06-17,3.8457213797064904,DAPHNIA
AL,2002,2002-08-14,380.06094456626425,DAPHNIA
AL,2002,2002-11-04,58.6739110014622,DAPHNIA
AL,2003,2003-02-26,228.42871940306267,DAPHNIA
AL,2003,2003-04-30,7.691442759412981,DAPHNIA
AL,2003,2003-05-29,131.74261721588553,DAPHNIA
AL,2003,2003-06-23,41.77769386101379,DAPHNIA
AL,2003,2003-07-23,303.08174432534673,DAPHNIA
AL,2003,2003-08-18,41.50170341906705,DAPHNIA
AL,2003,2003-09-17,236.7163905644716,DAPHNIA
AL,2003,2003-10-13,95.1859811352273,DAPHNIA
AL,2003,2003-11-19,47.154573241099975,DAPHNIA
AL,2004,2004-02-19,282.91422887692727,DAPHNIA
AL,2004,2004-04-27,10.255257012550643,DAPHNIA
AL,2004,2004-05-24,22.98644039472575,DAPHNIA
AL,2004,2004-10-11,815.0473421466778,DAPHNIA
AL,2004,2004-11-09,87.61470721803042,DAPHNIA
AL,2005,2005-02-23,83.53756134327033,DAPHNIA
AL,2005,2005-04-19,43.19759620855599,DAPHNIA
AL,2005,2005-05-16,272.61440591748345,DAPHNIA
AL,2005,2005-06-13,3.8457213797064904,DAPHNIA
AL,2005,2005-08-08,1.1940192430556371,DAPHNIA
AL,2005,2005-09-06,2.8172887736402075,DAPHNIA
AL,2005,2005-10-03,38.161457024762804,DAPHNIA
AL,2005,2005-11-08,20.790899175111935,DAPHNIA
AL,2006,2006-02-27,68.01668060347099,DAPHNIA
AL,2006,2006-05-16,137.11949659597173,DAPHNIA
AL,2006,2006-06-12,48.6946444308583,DAPHNIA
AL,2006,2006-07-11,58.6739110014622,DAPHNIA
AL,2006,2006-08-09,200.5915665254907,DAPHNIA
AL,2006,2006-09-05,157.93703801144957,DAPHNIA
AL,2006,2006-10-04,259.02565006108233,DAPHNIA
AL,2006,2006-10-31,192.94468971297087,DAPHNIA
AL,2007,2007-02-23,66.90842145539004,DAPHNIA
AL,2007,2007-04-23,14.100978392257135,DAPHNIA
AL,2007,2007-05-21,17.946699771963623,DAPHNIA
AL,2007,2007-06-19,60.757049885735384,DAPHNIA
AL,2007,2007-07-16,285.98975544735924,DAPHNIA
AL,2007,2007-08-15,178.3095568155775,DAPHNIA
AL,2007,2007-09-10,45.99283495674727,DAPHNIA
AL,2007,2007-10-08,108.89971343270018,DAPHNIA
AL,2007,2007-11-08,181.1493615106619,DAPHNIA
AL,2008,2008-03-03,17.946699771963623,DAPHNIA
AL,2008,2008-05-08,8.655099873761555,DAPHNIA
AL,2008,2008-06-02,268.8987699560999,DAPHNIA
AL,2008,2008-06-30,0.7045110162738352,DAPHNIA
AL,2008,2008-07-28,2.5036355957469834,DAPHNIA
AL,2008,2008-08-25,359.7319354462866,DAPHNIA
AL,2008,2008-09-22,323.1002143699843,DAPHNIA
AL,2008,2008-10-20,302.9615754831307,DAPHNIA
AL,2008,2008-11-06,147.45035650384534,DAPHNIA
AL,2009,2009-02-23,125.05732081621576,DAPHNIA
AL,2009,2009-04-27,38.610202035061334,DAPHNIA
AL,2009,2009-05-26,52.12584499122938,DAPHNIA
AL,2009,2009-06-22,4.677021480808263,DAPHNIA
AL,2009,2009-09-14,26.083593125840398,DAPHNIA
AL,2009,2009-10-14,157.26560453665576,DAPHNIA
AL,2009,2009-11-09,270.32622762412274,DAPHNIA
AL,2010,2010-02-16,39.70689929052473,DAPHNIA
AL,2010,2010-04-12,67.88199089928021,DAPHNIA
AL,2010,2010-05-12,58.024740608111316,DAPHNIA
AL,2010,2010-08-31,44.761249966545066,DAPHNIA
AL,2010,2010-09-29,26.904493513377645,DAPHNIA
AL,2010,2010-11-10,322.9861999969558,DAPHNIA
AL,2011,2011-02-15,73.19343906675294,DAPHNIA
AL,2011,2011-05-02,12.88100382861886,DAPHNIA
AL,2011,2011-05-31,104.13547776469699,DAPHNIA
AL,2011,2011-07-25,5.388450097397368,DAPHNIA
AL,2011,2011-08-22,67.11516913784637,DAPHNIA
AL,2011,2011-09-19,272.1167299185671,DAPHNIA
AL,2011,2011-10-17,23.00420154626054,DAPHNIA
AL,2011,2011-11-11,61.978626123969704,DAPHNIA
AL,2012,2012-02-23,77.12990919554314,DAPHNIA
AL,2012,2012-04-03,1.2186972151177322,DAPHNIA
AL,2012,2012-04-30,63.04379644671591,DAPHNIA
AL,2012,2012-05-29,17.611257875753587,DAPHNIA
AL,2012,2012-08-20,0.527967210155251,DAPHNIA
AL,2012,2012-09-19,50.34790623799723,DAPHNIA
AL,2012,2012-10-18,89.04316681381704,DAPHNIA
AL,2012,2012-11-09,174.58159838025992,DAPHNIA
AL,2013,2013-02-25,182.8143285207755,DAPHNIA
AL,2013,2013-05-14,6.263724781430372,DAPHNIA
AL,2013,2013-06-10,62.490993362397944,DAPHNIA
AL,2013,2013-07-11,17.01117245366177,DAPHNIA
AL,2013,2013-08-07,2.709455332421738,DAPHNIA
AL,2013,2013-09-03,1.7822753457717713,DAPHNIA
AL,2013,2013-11-07,1.4967267329970515,DAPHNIA
AL,2014,2014-03-18,40.055245962035826,DAPHNIA
AL,2014,2014-05-20,16.96109084573867,DAPHNIA
AL,2014,2014-06-17,78.36774434583432,DAPHNIA
AL,2014,2014-07-14,25.731384269943412,DAPHNIA
AL,2014,2014-08-12,209.0654616235612,DAPHNIA
AL,2014,2014-09-08,19.673098056602985,DAPHNIA
AL,2014,2014-10-06,103.33759796512129,DAPHNIA
AL,2014,2014-11-03,349.4894676558443,DAPHNIA
AL,2015,2015-02-24,75.9396756280513,DAPHNIA
AL,2015,2015-04-21,11.745618895259849,DAPHNIA
AL,2015,2015-05-19,110.2335770765731,DAPHNIA
AL,2015,2015-06-18,24.03600190788606,DAPHNIA
AL,2015,2015-07-13,13.297782452469093,DAPHNIA
AL,2015,2015-08-10,20.111642007755837,DAPHNIA
AL,2015,2015-09-08,49.675876082218956,DAPHNIA
AL,2015,2015-10-06,112.41283179578087,DAPHNIA
AL,2015,2015-11-09,41.6768808317231,DAPHNIA
AL,2016,2016-03-08,7.981908722603963,DAPHNIA
AL,2016,2016-04-25,4.821253810708287,DAPHNIA
AL,2016,2016-05-23,77.67189670712708,DAPHNIA
AL,2016,2016-06-20,19.219510631868285,DAPHNIA
AL,2016,2016-07-20,3.0292849558165447,DAPHNIA
AL,2016,2016-08-18,28.9875483300331,DAPHNIA
AL,2016,2016-09-12,89.42760615647167,DAPHNIA
AL,2016,2016-10-11,296.252504143077,DAPHNIA
AL,2016,2016-11-10,50.25711175823692,DAPHNIA
AL,2017,2017-02-20,8.650014928261815,DAPHNIA
AL,2017,2017-05-16,56.573330192879695,DAPHNIA
AL,2017,2017-06-14,33.60776764283271,DAPHNIA
AL,2017,2017-07-12,16.573069965058327,DAPHNIA
AL,2017,2017-08-08,2.571920084539773,DAPHNIA
AL,2017,2017-10-04,7.93574082986166,DAPHNIA
AL,2017,2017-11-07,32.10600926594202,DAPHNIA
AL,2018,2018-02-22,29.926870544712322,DAPHNIA
AL,2018,2018-06-11,100.98014705530392,DAPHNIA
AL,2018,2018-07-11,14.933322888670748,DAPHNIA
AL,2018,2018-08-08,7.571171041257966,DAPHNIA
AL,2018,2018-09-04,57.05787083999904,DAPHNIA
AL,2018,2018-10-02,159.9723962746653,DAPHNIA
AL,2018,2018-11-05,182.01122764072244,DAPHNIA
AL,2019,2019-02-28,17.223840395033047,DAPHNIA
AL,2019,2019-05-07,10.406590174712887,DAPHNIA
AL,2019,2019-06-03,205.6017956750007,DAPHNIA
AL,2019,2019-07-01,55.260861139491865,DAPHNIA
AL,2019,2019-07-31,25.823282127419496,DAPHNIA
AL,2019,2019-11-06,10.768019863178173,DAPHNIA
BM,1981,1981-06-04,35.774630426608546,DAPHNIA
BM,1981,1981-06-17,175.29974490750445,DAPHNIA
BM,1981,1981-06-30,150.03360920149385,DAPHNIA
BM,1981,1981-07-14,12.980104036781663,DAPHNIA
BM,1981,1981-08-11,4.010124883505004,DAPHNIA
BM,1981,1981-08-26,6.5646096071076,DAPHNIA
BM,1981,1981-09-14,6.645349806951148,DAPHNIA
BM,1981,1981-09-23,26.810549221147735,DAPHNIA
BM,1981,1981-10-20,48.80894858208947,DAPHNIA
BM,1982,1982-01-25,36.92580117997462,DAPHNIA
BM,1982,1982-02-25,22.838486515202014,DAPHNIA
BM,1982,1982-04-07,45.02797369192761,DAPHNIA
BM,1982,1982-05-11,47.65373080220338,DAPHNIA
BM,1982,1982-05-25,214.94269375586822,DAPHNIA
BM,1982,1982-06-09,105.80297353525633,DAPHNIA
BM,1982,1982-07-08,42.81514351138834,DAPHNIA
BM,1982,1982-08-05,13.704131791827916,DAPHNIA
BM,1982,1982-08-18,24.741245347993946,DAPHNIA
BM,1982,1982-09-08,18.369769593921948,DAPHNIA
BM,1982,1982-10-06,148.0965196382926,DAPHNIA
BM,1982,1982-10-18,138.92129255040126,DAPHNIA
BM,1982,1982-11-09,26.689969750317246,DAPHNIA
BM,1982,1982-12-03,40.7022038692338,DAPHNIA
BM,1983,1983-01-12,18.816428673973657,DAPHNIA
BM,1983,1983-02-17,14.412583665171313,DAPHNIA
BM,1983,1983-05-10,43.77155039052028,DAPHNIA
BM,1983,1983-05-26,78.20161136842954,DAPHNIA
BM,1983,1983-06-06,74.19811590588193,DAPHNIA
BM,1983,1983-06-22,53.166700117589144,DAPHNIA
BM,1983,1983-07-06,110.22957506881022,DAPHNIA
BM,1983,1983-09-07,2.5355471262801386,DAPHNIA
BM,1983,1983-11-02,16.414331396445107,DAPHNIA
BM,1983,1983-11-14,89.43750136282819,DAPHNIA
BM,1983,1983-11-28,176.02035050334223,DAPHNIA
BM,1984,1984-01-10,71.92946847710498,DAPHNIA
BM,1984,1984-02-23,3.736595765044415,DAPHNIA
BM,1984,1984-05-07,120.37176357393078,DAPHNIA
BM,1984,1984-06-06,38.70045613796,DAPHNIA
BM,1984,1984-06-20,56.31583617316939,DAPHNIA
BM,1984,1984-07-03,16.013981850190348,DAPHNIA
BM,1984,1984-08-13,1.4679483362674486,DAPHNIA
BM,1984,1984-09-04,56.14646195819045,DAPHNIA
BM,1984,1984-09-25,151.12442060980285,DAPHNIA
BM,1984,1984-10-15,59.78553224071064,DAPHNIA
BM,1984,1984-11-05,250.93957081266294,DAPHNIA
BM,1985,1985-01-09,54.79890611241155,DAPHNIA
BM,1985,1985-02-26,17.34848033770621,DAPHNIA
BM,1985,1985-05-30,421.57488658081377,DAPHNIA
BM,1985,1985-06-13,19.216778220228417,DAPHNIA
BM,1985,1985-08-08,20.1025649716987,DAPHNIA
BM,1985,1985-08-21,80.12073017561725,DAPHNIA
BM,1985,1985-09-11,9.564441073072592,DAPHNIA
BM,1985,1985-10-03,16.61337451737787,DAPHNIA
BM,1985,1985-10-25,79.62962268674221,DAPHNIA
BM,1985,1985-11-13,127.65066483066185,DAPHNIA
BM,1986,1986-04-23,24.496569179267503,DAPHNIA
BM,1986,1986-05-08,17.34848033770621,DAPHNIA
BM,1986,1986-05-19,63.464253555918006,DAPHNIA
BM,1986,1986-06-04,39.23425553296635,DAPHNIA
BM,1986,1986-06-18,64.85662649327091,DAPHNIA
BM,1986,1986-07-01,7.802969298225154,DAPHNIA
BM,1986,1986-07-16,17.74882988396097,DAPHNIA
BM,1986,1986-07-30,137.78086033770222,DAPHNIA
BM,1986,1986-08-12,36.24947975415046,DAPHNIA
BM,1986,1986-08-25,14.481782002638209,DAPHNIA
BM,1986,1986-09-10,121.44949647186581,DAPHNIA
BM,1986,1986-09-23,159.54430714816274,DAPHNIA
BM,1986,1986-10-07,105.05246976698922,DAPHNIA
BM,1986,1986-10-21,132.97871589970305,DAPHNIA
BM,1986,1986-11-05,216.55306916784963,DAPHNIA
BM,1987,1987-01-12,11.476686992636415,DAPHNIA
BM,1987,1987-02-25,13.078085177655451,DAPHNIA
BM,1987,1987-04-16,12.277386085145935,DAPHNIA
BM,1987,1987-05-06,16.824804463036365,DAPHNIA
BM,1987,1987-05-21,43.69692394443392,DAPHNIA
BM,1987,1987-06-02,40.83565371798539,DAPHNIA
BM,1987,1987-06-11,12.811185480152277,DAPHNIA
BM,1987,1987-06-30,11.51218515694526,DAPHNIA
BM,1987,1987-07-28,3.315911977636887,DAPHNIA
BM,1987,1987-08-11,93.19850588958276,DAPHNIA
BM,1987,1987-08-24,53.00230144923066,DAPHNIA
BM,1987,1987-09-09,59.633785796833266,DAPHNIA
BM,1987,1987-09-23,59.873012163336426,DAPHNIA
BM,1987,1987-10-06,106.40103945151424,DAPHNIA
BM,1987,1987-10-21,69.08685507753944,DAPHNIA
BM,1987,1987-11-04,136.0082846815363,DAPHNIA
BM,1987,1987-11-16,26.450743383814082,DAPHNIA
BM,1988,1988-01-12,13.878784270164969,DAPHNIA
BM,1988,1988-04-25,13.988255201052644,DAPHNIA
BM,1988,1988-05-11,192.30123205103575,DAPHNIA
BM,1988,1988-05-25,18.325519229423065,DAPHNIA
BM,1988,1988-07-05,93.41489412611037,DAPHNIA
BM,1988,1988-07-20,18.325519229423065,DAPHNIA
BM,1988,1988-08-04,15.029595371963579,DAPHNIA
BM,1988,1988-08-18,31.94884169061563,DAPHNIA
BM,1988,1988-08-30,55.97083328891465,DAPHNIA
BM,1988,1988-09-12,26.450743383814082,DAPHNIA
BM,1988,1988-09-27,70.24057535949326,DAPHNIA
BM,1988,1988-10-13,27.830378678471547,DAPHNIA
BM,1988,1988-10-24,149.2427085116133,DAPHNIA
BM,1988,1988-11-07,75.96278304277625,DAPHNIA
BM,1989,1989-01-17,60.79475901468562,DAPHNIA
BM,1989,1989-03-31,24.02097277528552,DAPHNIA
BM,1989,1989-05-02,28.738116381326094,DAPHNIA
BM,1989,1989-05-31,173.61825322581367,DAPHNIA
BM,1989,1989-06-12,19.5585173066899,DAPHNIA
BM,1989,1989-07-10,46.79424777033865,DAPHNIA
BM,1989,1989-07-25,20.818176405247453,DAPHNIA
BM,1989,1989-08-10,4.782664182071819,DAPHNIA
BM,1989,1989-08-22,54.633942537733745,DAPHNIA
BM,1989,1989-09-07,19.929303164802928,DAPHNIA
BM,1989,1989-09-20,46.171384363659605,DAPHNIA
BM,1989,1989-10-03,168.91989292327048,DAPHNIA
BM,1989,1989-10-17,115.4915966449441,DAPHNIA
BM,1989,1989-11-01,53.662691367834974,DAPHNIA
BM,1989,1989-11-14,32.539299054726314,DAPHNIA
BM,1990,1990-01-23,6.6126858459535205,DAPHNIA
BM,1990,1990-02-20,6.6126858459535205,DAPHNIA
BM,1990,1990-05-01,29.069866905738518,DAPHNIA
BM,1990,1990-06-13,48.43270143408617,DAPHNIA
BM,1990,1990-08-21,187.70098717866233,DAPHNIA
BM,1990,1990-11-14,182.31308259493204,DAPHNIA
BM,1991,1991-02-21,79.85930365462829,DAPHNIA
BM,1991,1991-05-06,17.138116619244506,DAPHNIA
BM,1991,1991-06-17,7.460107732035129,DAPHNIA
BM,1991,1991-08-27,34.31184418819855,DAPHNIA
BM,1991,1991-10-29,116.28789024808971,DAPHNIA
BM,1992,1992-02-25,24.4926033949233,DAPHNIA
BM,1992,1992-05-05,7.374792671940306,DAPHNIA
BM,1992,1992-06-18,75.54661142907511,DAPHNIA
BM,1992,1992-08-25,32.45730479321549,DAPHNIA
BM,1992,1992-11-11,229.2567966254689,DAPHNIA
BM,1993,1993-02-22,12.601544949490778,DAPHNIA
BM,1993,1993-05-05,53.46345724168488,DAPHNIA
BM,1993,1993-06-15,64.46105678278498,DAPHNIA
BM,1993,1993-08-26,2.276871638503862,DAPHNIA
BM,1993,1993-11-10,112.40190887094937,DAPHNIA
BM,1994,1994-02-24,45.260490999474015,DAPHNIA
BM,1994,1994-05-06,118.6075172746141,DAPHNIA
BM,1994,1994-06-13,10.002900682464642,DAPHNIA
BM,1994,1994-08-26,5.7287498335785765,DAPHNIA
BM,1994,1994-11-14,154.05095581139278,DAPHNIA
BM,1995,1995-05-03,6.367171094651761,DAPHNIA
BM,1995,1995-06-13,25.158939822505122,DAPHNIA
BM,1995,1995-12-18,80.13762508012235,DAPHNIA
BM,1996,1996-02-23,21.682501024193467,DAPHNIA
BM,1996,1996-06-10,26.079082104239767,DAPHNIA
BM,1996,1996-08-06,6.6724924375793115,DAPHNIA
BM,1996,1996-11-06,287.0336936771925,DAPHNIA
BM,1997,1997-02-20,18.20696128355745,DAPHNIA
BM,1997,1997-06-17,108.8492972063701,DAPHNIA
BM,1998,1998-02-19,24.918920496270196,DAPHNIA
BM,1998,1998-04-23,52.405883114659765,DAPHNIA
BM,1998,1998-06-18,4.034369445759613,DAPHNIA
BM,1998,1998-11-02,28.821622679072718,DAPHNIA
BM,1999,1999-02-24,109.57493099617315,DAPHNIA
BM,1999,1999-05-03,6.6724924375793115,DAPHNIA
BM,1999,1999-06-28,14.679483362674487,DAPHNIA
BM,1999,1999-11-11,25.004491905030758,DAPHNIA
BM,2000,2000-02-23,21.501286340614865,DAPHNIA
BM,2000,2000-04-05,45.0245045929688,DAPHNIA
BM,2000,2000-05-30,77.40091227592,DAPHNIA
BM,2000,2000-11-14,107.08121594121747,DAPHNIA
BM,2001,2001-02-23,6.874499800294291,DAPHNIA
BM,2001,2001-05-04,16.65910315140985,DAPHNIA
BM,2001,2001-11-12,89.36849740382578,DAPHNIA
BM,2002,2002-02-26,25.206499267745738,DAPHNIA
BM,2002,2002-04-24,5.009117604708497,DAPHNIA
BM,2002,2002-05-20,120.1048638764276,DAPHNIA
BM,2002,2002-06-18,26.782844242500634,DAPHNIA
BM,2002,2002-11-05,95.81246479486046,DAPHNIA
BM,2003,2003-02-21,25.557478625516364,DAPHNIA
BM,2003,2003-04-30,8.006990925095174,DAPHNIA
BM,2003,2003-05-30,72.06291832585657,DAPHNIA
BM,2003,2003-06-25,10.675987900126898,DAPHNIA
BM,2003,2003-07-23,33.362462187896554,DAPHNIA
BM,2003,2003-08-19,1.3661229831023172,DAPHNIA
BM,2003,2003-09-17,7.440745362694733,DAPHNIA
BM,2003,2003-10-13,43.52523989328235,DAPHNIA
BM,2003,2003-11-10,53.0422189847787,DAPHNIA
BM,2004,2004-03-02,4.003495462547587,DAPHNIA
BM,2004,2004-05-25,29.42221571652188,DAPHNIA
BM,2004,2004-07-19,10.675987900126898,DAPHNIA
BM,2004,2004-08-03,6.874499800294291,DAPHNIA
BM,2004,2004-08-17,1.3661229831023172,DAPHNIA
BM,2004,2004-09-13,116.28699220068769,DAPHNIA
BM,2004,2004-10-12,73.89424343220622,DAPHNIA
BM,2004,2004-11-08,81.68596815267158,DAPHNIA
BM,2005,2005-02-24,11.44424082524232,DAPHNIA
BM,2005,2005-04-22,1.3661229831023172,DAPHNIA
BM,2005,2005-05-16,18.682978825222072,DAPHNIA
BM,2005,2005-06-14,29.358966725348974,DAPHNIA
BM,2005,2005-07-12,14.679483362674487,DAPHNIA
BM,2005,2005-08-10,4.003495462547587,DAPHNIA
BM,2005,2005-10-05,51.55874850220719,DAPHNIA
BM,2005,2005-11-11,115.72074663828724,DAPHNIA
BM,2006,2006-02-21,24.04749045911519,DAPHNIA
BM,2006,2006-04-24,22.68647428776966,DAPHNIA
BM,2006,2006-05-03,0,DAPHNIA
BM,2006,2006-05-19,206.87378324878836,DAPHNIA
BM,2006,2006-06-13,16.547887298802976,DAPHNIA
BM,2006,2006-07-10,56.04893647566622,DAPHNIA
BM,2006,2006-08-07,9.116873207924478,DAPHNIA
BM,2006,2006-10-02,30.41324257009831,DAPHNIA
BM,2006,2006-11-01,102.31796398952866,DAPHNIA
BM,2007,2007-02-27,52.952454010598366,DAPHNIA
BM,2007,2007-04-25,76.65917703463425,DAPHNIA
BM,2007,2007-05-22,105.15710221629242,DAPHNIA
BM,2007,2007-06-20,38.5249664590747,DAPHNIA
BM,2007,2007-08-15,20.610240558968044,DAPHNIA
BM,2007,2007-09-11,1.3661229831023172,DAPHNIA
BM,2007,2007-10-08,227.80223601371236,DAPHNIA
BM,2007,2007-11-09,182.88946226525482,DAPHNIA
BM,2008,2008-02-26,10.675987900126898,DAPHNIA
BM,2008,2008-05-09,4.529456096024018,DAPHNIA
BM,2008,2008-06-03,160.43417600352208,DAPHNIA
BM,2008,2008-07-01,22.9518391869221,DAPHNIA
BM,2008,2008-09-22,3.4372499001471457,DAPHNIA
BM,2008,2008-10-21,26.282135840145543,DAPHNIA
BM,2008,2008-11-07,88.40240894712437,DAPHNIA
BM,2009,2009-02-24,20.042352931056893,DAPHNIA
BM,2009,2009-04-29,173.7981189224303,DAPHNIA
BM,2009,2009-05-26,201.0448254489147,DAPHNIA
BM,2009,2009-06-23,32.93481505972327,DAPHNIA
BM,2009,2009-10-12,19.771875193054655,DAPHNIA
BM,2009,2009-11-10,92.0667920087322,DAPHNIA
BM,2010,2010-02-12,54.60726349048836,DAPHNIA
BM,2010,2010-04-13,5.6031567324199365,DAPHNIA
BM,2010,2010-05-10,310.4345497818092,DAPHNIA
BM,2010,2010-06-07,55.61144748180792,DAPHNIA
BM,2010,2010-07-09,3.871573629405697,DAPHNIA
BM,2010,2010-08-30,1.9369830493215558,DAPHNIA
BM,2010,2010-09-27,16.30631649647512,DAPHNIA
BM,2010,2010-11-11,248.42555117984972,DAPHNIA
BM,2011,2011-02-16,13.162691280958427,DAPHNIA
BM,2011,2011-05-05,154.07903829990698,DAPHNIA
BM,2011,2011-05-31,47.147694259057786,DAPHNIA
BM,2011,2011-07-01,8.536069823628482,DAPHNIA
BM,2011,2011-07-27,13.814850014634121,DAPHNIA
BM,2011,2011-10-18,1.1253148566528697,DAPHNIA
BM,2011,2011-11-15,14.724492190660659,DAPHNIA
BM,2012,2012-02-20,105.37258581073394,DAPHNIA
BM,2012,2012-04-03,5.010588232764223,DAPHNIA
BM,2012,2012-04-30,179.8321860615831,DAPHNIA
BM,2012,2012-05-29,91.82126854634512,DAPHNIA
BM,2012,2012-06-25,5.68366965094237,DAPHNIA
BM,2012,2012-08-20,24.060194885455132,DAPHNIA
BM,2012,2012-09-17,9.484100101195285,DAPHNIA
BM,2012,2012-10-17,47.483186929720155,DAPHNIA
BM,2012,2012-11-13,108.20301176256429,DAPHNIA
BM,2013,2013-02-22,39.87658052193147,DAPHNIA
BM,2013,2013-05-15,0.7364879270016056,DAPHNIA
BM,2013,2013-06-10,22.49946999925076,DAPHNIA
BM,2013,2013-07-08,46.33969781969782,DAPHNIA
BM,2013,2013-08-07,20.19332171814471,DAPHNIA
BM,2013,2013-09-03,11.188720327729783,DAPHNIA
BM,2013,2013-09-30,21.765140420134408,DAPHNIA
BM,2013,2013-11-14,68.93738308142719,DAPHNIA
BM,2014,2014-05-20,5.744121131718776,DAPHNIA
BM,2014,2014-06-16,92.9320069619869,DAPHNIA
BM,2014,2014-07-15,7.117977558835852,DAPHNIA
BM,2014,2014-08-11,8.371222562306782,DAPHNIA
BM,2014,2014-09-09,13.855731668249726,DAPHNIA
BM,2014,2014-10-07,60.34944420242124,DAPHNIA
BM,2014,2014-11-05,109.31281948075299,DAPHNIA
BM,2015,2015-03-03,28.785665581027732,DAPHNIA
