"species_name","Origin_Spp_Name","eqn","c1","c2","c3","Origin_formula","Checked"
"DAPHNIA GALEATA MENDOTAE","Daphnia galeata mendotae","pow",10.9317,1.5302,"NA","#VALUE!","Y"
"DAPHNIA LONGIREMIS","Daphnia longiremis","pow",10.9317,1.5302,"NA","#VALUE!","Y"
"DAPHNIA MENDOTAE","na","pow",9.631,1.719,"NA","na","N"
"DAPHNIA PARVULA","Daphnia parvula","pow",10.9317,1.5302,"NA","#VALUE!","Y"
"DAPHNIA PULEX","Daphnia pulex","pow",9.631,1.719,"NA","#VALUE!","Y"
"DAPHNIA PULICARIA","na","pow",9.631,1.719,"NA","na","Y"
"DAPHNIA RETROCURVA","Daphnia retrocurva","pow",7.5484,2.7552,"NA","#VALUE!","Y"
"DAPHNIA ROSEA","Daphnia rosea","pow",9.631,1.719,"NA","#VALUE!","Y"
"DAPHNIA SCHODLERI","Daphnia schodleri","pow",9.631,1.719,"NA","#VALUE!","Y"
"DIACYCLOPS","Diacyclops::Diacyclops thomasi","pow",14.571,2.557,"NA","Err:510","Y"
"DIACYCLOPS THOMASI","Diacyclops thomasi","pow",14.571,2.557,"NA","#VALUE!","Y"
"DIAPHANOSOMA","Diaphanosoma::Diaphanosoma birgei::Lumped Diaphanosoma","pow",5.0713,1.0456,"NA","Err:510","Y"
"DIAPHANOSOMA BIRGEI","Diaphanosoma birgei","pow",5.0713,1.0456,"NA","#VALUE!","Y"
"DIAPTOMID","na","pow",10.968,1.634,"NA","na",
"ENCENTRUM","na","NA","NA","NA","NA","na","Use unknown rotifer?"
"EPISCHURA LACUSTRIS","Epischura lacustris","exp",1.467,2.4741,"NA","#VALUE!","Y"
"ERGASILUS","Ergasilus","NA","NA","NA","NA","NA","Use copepod?"
"EUCHLANIS","Euchlanis::Euchlanis pellucida","pow",10,3,"NA","Err:510","Y"
"EUCHLANIS PELLUCIDA","Euchlanis pellucida","pow",10,3,"NA","#VALUE!","Y"
"EUCYCLOPS","Eucyclops agilis::Eucyclops speratus","pow",10.968,1.634,"NA","Err:510","Y"
"EUCYCLOPS AGILIS","Eucyclops agilis","pow",10.968,1.634,"NA","#VALUE!","Y"
"EUCYCLOPS ELEGANS","na","pow",10.968,1.634,"NA","na","Y"
"EUCYCLOPS SPERATUS","Eucyclops speratus","pow",10.968,1.634,"NA","#VALUE!","Y"
"FILINIA","Filinia::Filinia terminalis::Mytilinia","pow",13,3,"NA","Err:510","Y"
"FILINIA TERMINALIS","Filinia terminalis","pow",13,3,"NA","#VALUE!","Y"
"GASTROPUS","Gastropus spp.::Gastropus hyptopus::Gastropus stylifer","pow",20,3,"NA","Err:510","Y"
"GASTROPUS HYPTOPUS","Gastropus hyptopus","pow",20,3,"NA","#VALUE!","Y"
"GASTROPUS SPP.","Gastropus spp.","pow",20,3,"NA","#VALUE!","Y"
"GASTROPUS STYLIFER","Gastropus stylifer","pow",26,3,"NA","#VALUE!","Y"
"HARPACTICOID","Harpacticoid","NA","NA","NA","NA","NA","Use copepod?"
"HEXARTHRA","na","NA","NA","NA","NA","na","Use unknown rotifer?"
"HOLOPEDIUM","Holopedium::Holopedium gibberum::Lumped Holopedium","pow",12.1825,3.3,"NA","Err:510","Y"
"HOLOPEDIUM GIBBERUM","Holopedium gibberum","pow",12.1825,3.3,"NA","#VALUE!","Y"
"ILYOCRYPTUS SPINIFER","Ilyocryptus spinifer","NA","NA","NA","NA","NA","Weird Daphnia; use that formula?"
"KELLICOTTIA","Kellicottia::Kellicottia bostoniensis::Kellicottia longispina","pow",3,3,"NA","Err:510","Y"
"KELLICOTTIA BOSTONIENSIS","Kellicottia bostoniensis","pow",3,3,"NA","#VALUE!","Y"
"KELLICOTTIA LONGISPINA","Kellicottia longispina","pow",3,3,"NA","#VALUE!","Y"
"KERATELLA","Keratella spp.::Keratella cochlearis::Keratella cochlearis v. tecta::Keratella crassa::Keratella earlinae::Keratella hiemalis::Keratella quadrata::Keratella serrulata::Keratella taurocephala::Keratella testudo::Keratella serrulata f. curvicornis","pow",2,3,"NA","Err:510","Y"
"KERATELLA COCHLEARIS","Keratella cochlearis::Keratella cochlearis v. tecta","pow",2,3,"NA","Err:510","Y"
"KERATELLA COCHLEARIS F. TECTA","Keratella cochlearis v. tecta","pow",2,3,"NA","#VALUE!","Y"
"KERATELLA COCHLEARIS V. TECTA","Keratella cochlearis v. tecta","pow",2,3,"NA","#VALUE!","Y"
"KERATELLA CRASSA","Keratella crassa","pow",2,3,"NA","#VALUE!","Y"
"KERATELLA EARLINAE","Keratella earlinae","pow",2,3,"NA","#VALUE!","Y"
"KERATELLA HIEMALIS","Keratella hiemalis","pow",22,3,"NA","#VALUE!","Y"
"KERATELLA QUADRATA","Keratella quadrata","pow",22,3,"NA","#VALUE!","Y"
"KERATELLA SERRULATA","Keratella serrulata::Keratella serrulata f. curvicornis","pow",2,3,"NA","Err:510","Y"
"KERATELLA SERRULATA F. CURVICORNIS","Keratella serrulata f. curvicornis","pow",2,3,"NA","#VALUE!","Y"
"KERATELLA SPP.","Keratella spp.","pow",2,3,"NA","#VALUE!","Y"
"KERATELLA TAUROCEPHALA","Keratella taurocephala","pow",2,3,"NA","#VALUE!","Y"
"KERATELLA TESTUDO","Keratella testudo","pow",22,3,"NA","#VALUE!","Y"
"KERATELLA TICINENSIS","na","pow",2,3,"NA","na","Fatter one; probably should be 22"
"LECANE","Lecane spp.::Lecane clara::Lecane inermis::Lecane leontina::Lecane mira::Lecane tudicola","pow",12,3,"NA","Err:510","Y"
"LECANE CLARA","Lecane clara","pow",12,3,"NA","#VALUE!","Y"
"LECANE INERMIS","Lecane inermis","pow",12,3,"NA","#VALUE!","Y"
"LECANE LEONTINA","Lecane leontina","pow",12,3,"NA","#VALUE!","Y"
"LECANE MIRA","Lecane mira","pow",12,3,"NA","#VALUE!","Y"
"LECANE SPP.","Lecane spp.","pow",12,3,"NA","#VALUE!","Y"
"LECANE TENUISETA","na","pow",12,3,"NA","na","Y"
"LECANE TUDICOLA","Lecane tudicola","pow",12,3,"NA","#VALUE!","Y"
"LEPADELLA","Lepadella","pow",10,3,"NA","#VALUE!","Y"
"LEPADELLA ACUMINATA","na","pow",10,3,"NA","na","Y"
"LEPADELLA PATELLA","na","pow",10,3,"NA","na","Y"
"LEPADELLA TRIPTERA","na","pow",10,3,"NA","na","Y"
"LEPTODIAPTOMUS","Leptodiaptomus::Leptodiaptomus minutus::Leptodiaptomus sicilis","pow",10.308,1.761,"NA","Err:510","Y"
"LEPTODIAPTOMUS MINUTUS","Leptodiaptomus minutus","pow",10.308,1.761,"NA","#VALUE!","Y"
"LEPTODIAPTOMUS SICILIS","Leptodiaptomus sicilis","pow",10.308,1.761,"NA","#VALUE!","Y"
"LEPTODORA KINDTI","Leptodora kindti","const",8.5,"NA","NA",8.5,
"LEPTODORA KINDTII","Leptodora kindti","const",8.5,"NA","NA",8.5,
"LEYDIGIA","na","pow",14.0793,1.9796,"NA","na","Y"
"LEYDIGIA ACANTHOCERCOIDES","na","pow",14.0793,1.9796,"NA","na","Y"
"LUMPED BOSMINA","Lumped Bosmina","pow",17.7369,2.2291,"NA","#VALUE!","Y"
"LUMPED CERIODAPHNIA","Lumped Ceriodaphnia","pow",4.0216,1.9763,"NA","#VALUE!","Y"
"LUMPED DIAPHANOSOMA","Lumped Diaphanosoma","pow",5.0713,1.0456,"NA","#VALUE!","Y"
"LUMPED HOLOPEDIUM","Lumped Holopedium","pow",12.1825,3.3,"NA","#VALUE!","Y"
"MANFREDIUM","Manfredium::Manfredium eudactylotum","pow",10,3,"NA","Err:510","Y"
"MANFREDIUM EUDACTYLOTUM","Manfredium eudactylotum","pow",10,3,"NA","#VALUE!","Y"
"MESOCYCLOPS","Mesocyclops::Mesocyclops edax","pow",11.728,1.625,"NA","Err:510","Y"
"MESOCYCLOPS EDAX","Mesocyclops edax","pow",11.728,1.625,"NA","#VALUE!","Y"
"MONOMMATA","Monommata spp.","pow",12,3,"NA","#VALUE!","Y"
"MONOMMATA SPP.","Monommata spp.::Notommata spp.","pow",12,3,"NA","Err:510","Y"
"MONOSTYLA","Monostyla spp.::Monostyla lunaris::Monostyla obtusa","pow",12,3,"NA","Err:510","Y"
"MONOSTYLA BULLA","na","pow",12,3,"NA","na","Y"
"MONOSTYLA LUNARIS","Monostyla lunaris","pow",12,3,"NA","#VALUE!","Y"
"MONOSTYLA OBTUSA","Monostyla obtusa","pow",12,3,"NA","#VALUE!","Y"
"MONOSTYLA SPP.","Monostyla spp.","pow",12,3,"NA","#VALUE!","Y"
"MONOSTYLA STENROOSI","na","pow",12,3,"NA","na","Y"
"MYTILINA","Mytilinia","pow",3.5,3,"NA","#VALUE!","Y"
"MYTILINIA","Mytilinia","pow",3.5,3,"NA","#VALUE!","Y"
"NA","NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA::NA","NA","NA","NA","NA","NA","Y"
"NOTHOLCA","Notholca spp.::Notholca acuminata::Notholca michiganensis::Notholca squamula","pow",3.5,3,"NA","Err:510","Y"
"NOTHOLCA ACUMINATA","Notholca acuminata","pow",3.5,3,"NA","#VALUE!","Y"
"NOTHOLCA FOLIACEA","na","pow",3.5,3,"NA","na","Y"
"NOTHOLCA LABIS","na","pow",3.5,3,"NA","na","Y"
"NOTHOLCA MICHIGANENSIS","Notholca michiganensis","pow",3.5,3,"NA","#VALUE!","Y"
"NOTHOLCA SPP.","Notholca spp.","pow",3.5,3,"NA","#VALUE!","Y"
"NOTHOLCA SQUAMULA","Notholca squamula","pow",3.5,3,"NA","#VALUE!","Y"
"NOTOMMATA","Notommata spp.","pow",15,3,"NA","#VALUE!","Y"
"NOTOMMATA SPP.","Monommata spp.::Notommata spp.","pow",15,3,"NA","Err:510","Y"
"OPHRYOXUS GRACILIS","na","pow",10.9317,1.5302,"NA","na","Y"
"ORTHOCYCLOPS MODESTUS","Orthocyclops modestus","pow",10.968,1.634,"NA","#VALUE!","Y"
"PARACYCLOPS FIMBRIATUS POPPEI","Paracyclops fimbriatus poppei","pow",10.968,1.634,"NA","#VALUE!","Y"
"PLEUROXUS PROCURVUS","na","pow",14.0793,1.9796,"NA","na","Use chydorid instead"
"PLOESOMA","Ploesoma spp.::Ploesoma lenticulare","pow",23,3,"NA","Err:510","Y"
"PLOESOMA HUDSONI","na","pow",23,3,"NA","na","Y"
"PLOESOMA LENTICULARE","Ploesoma lenticulare","pow",23,3,"NA","#VALUE!","Y"
"PLOESOMA SPP.","Ploesoma spp.","pow",23,3,"NA","#VALUE!","Y"
"PLOESOMA TRUNCATUM","na","pow",23,3,"NA","na","Y"
"POLYARTHRA","Polyarthra::Polyarthra dolichoptera::Polyarthra euryptera::Polyarthra major::Polyarthra remata::Polyarthra vulgaris","pow",28,3,"NA","Err:510","Y"
"POLYARTHRA DOLICHOPTERA","Polyarthra dolichoptera","pow",28,3,"NA","#VALUE!","Y"
"POLYARTHRA EURYPTERA","Polyarthra euryptera","pow",28,3,"NA","#VALUE!","Y"
"POLYARTHRA MAJOR","Polyarthra major","pow",28,3,"NA","#VALUE!","Y"
"POLYARTHRA REMATA","Polyarthra remata","pow",28,3,"NA","#VALUE!","Y"
"POLYARTHRA VULGARIS","Polyarthra vulgaris","pow",28,3,"NA","#VALUE!","Y"
"POLYPHEMUS","Polyphemus::Polyphemus pediculus","const",2.9,"NA","NA",2.9,
"POLYPHEMUS PEDICULUS","Polyphemus pediculus","const",2.9,"NA","NA",2.9,
"POMPHOLYX","Pompholyx","pow",15,3,"NA","#VALUE!","Y"
"SCAPHOLEBERIS","na","pow",9.631,1.719,"NA","na","Y"
"SIMOCEPHALUS","na","pow",9.631,1.719,"NA","na","Y"
"SINOBOSMINA FRYEI","na","pow",17.7369,2.2291,"NA","na","Y"
"SKISTODIAPTOMUS","Skistodiaptomus::Skistodiaptomus oregonensis::Skistodiaptomus pallidus","pow",6.1927,1.9604,"NA","Err:510","Y"
"SKISTODIAPTOMUS OREGONENSIS","Skistodiaptomus oregonensis","pow",6.1927,1.9604,"NA","#VALUE!","Y"
"SKISTODIAPTOMUS PALLIDUS","Skistodiaptomus pallidus","pow",6.1927,1.9604,"NA","#VALUE!","Y"
"SYNCHAETA","Synchaeta spp.::Synchaeta - contracted","pow",10,"NA","NA","Err:510","Missing 3"
"SYNCHAETA - CONTRACTED","Synchaeta - contracted","pow",10,3,"NA","#VALUE!","Y"
"SYNCHAETA SPP.","Synchaeta spp.","pow",10,3,"NA","#VALUE!","Y"
"TESTUDINELLA REFLEXA","na","complex",52,0.33,"NA","na","Not clear which most related to"
"TRICHOCERCA","Trichocerca spp.::Trichocerca  porcellus::Trichocerca cylindrica::Trichocerca birostris::Trichocerca longiseta::Trichocerca multicrinis::Trichocerca rousseleti::Trichocerca similas::Trichocerca sp. 2","complex",52,0.25,"NA","Err:510","Y"
"TRICHOCERCA  PORCELLUS","Trichocerca  porcellus","complex",52,0.25,"NA","#VALUE!","Y"
"TRICHOCERCA BIROSTRIS","Trichocerca birostris","complex",52,0.33,"NA","#VALUE!","Y"
"TRICHOCERCA CAPUCINA","na","complex",52,0.25,"NA","na","Y"
"TRICHOCERCA CYLINDRICA","Trichocerca cylindrica","complex",52,0.25,"NA","#VALUE!","Y"
"TRICHOCERCA LONGISETA","Trichocerca longiseta","complex",52,0.25,"NA","#VALUE!","Y"
"TRICHOCERCA MULTICRINIS","Trichocerca multicrinis","complex",52,0.25,"NA","#VALUE!","Y"
"TRICHOCERCA PORCELLUS","Trichocerca  porcellus","complex",52,0.25,"NA","#VALUE!","Y"
"TRICHOCERCA PUSILLA","na","complex",52,0.25,"NA","na","Y"
"TRICHOCERCA ROUSSELETI","Trichocerca rousseleti","complex",52,0.25,"NA","#VALUE!","Y"
"TRICHOCERCA SIMILAS","Trichocerca similas","complex",52,0.25,"NA","#VALUE!","Y"
"TRICHOCERCA SIMILIS","Trichocerca similas","complex",52,0.25,"NA","#VALUE!","Y"
"TRICHOCERCA SP. 2","Trichocerca sp. 2","complex",52,0.25,"NA","#VALUE!","Y"
"TRICHOCERCA SPP.","Trichocerca spp.::Trichocerca sp. 2","complex",52,0.25,"NA","Err:510","Y"
"TRICHOTRIA","na","complex",52,0.25,"NA","na","Y"
"TRICHOTRIA TETRACTIS","na","complex",52,0.25,"NA","na","Y"
"TROCHOSPHAERA SOLSTITIALIS","Trochosphaera solstitialis","NA","NA","NA","NA","NA","Y"
"TROPOCYCLOPS","Tropocyclops prasinus mexicanus","pow",10.968,1.634,"NA","#VALUE!","Y"
"TROPOCYCLOPS PRASINUS MEXICANUS","Tropocyclops prasinus mexicanus","pow",10.968,1.634,"NA","#VALUE!","Y"
"UNIDENTIFIED","na","NA","NA","NA","NA","na","Y"
"UNKNOWN","Unknown Cladoceran","NA","NA","NA","NA","NA","Y"
"UNKNOWN CLADOCERAN","Unknown Cladoceran","NA","NA","NA","NA","NA","Y"
"UNKNOWN EGG-SHAPED ROTIFER","na","NA","NA","NA","NA","na","Y"
"UNKNOWN ROTIFER","na","complex",52,0.25,"NA","na","maybe other rotifer eqn is better?"
